id,user_id,vin,plate_number,vehicle_model,vehicle_year,mileage,vehicle_type,vehicle_make
36,235,VIN00000000000036,ABC0036,L300,2001,8955.00,Crossover,Mitsubishi
37,236,VIN00000000000037,ABC0037,Corolla,2006,9068.00,Sedan,Toyota
38,237,VIN00000000000038,ABC0038,Hiace,2006,9181.00,SUV,Toyota
39,238,VIN00000000000039,ABC0039,Avanza,2017,9294.00,Pickup,Toyota
40,239,VIN00000000000040,ABC0040,Corolla,2024,9407.00,Van,Toyota
41,240,VIN00000000000041,ABC0041,Wigo,2008,9520.00,Hatchback,Toyota
42,241,VIN00000000000042,ABC0042,Pajero,1998,9633.00,Crossover,Mitsubishi
43,242,VIN00000000000043,ABC0043,K2700,2003,9746.00,Sedan,Kia
44,243,VIN00000000000044,ABC0044,Pajero,2024,9859.00,SUV,Mitsubishi
45,244,VIN00000000000045,ABC0045,Corolla Altis,2005,9972.00,Pickup,Toyota
46,245,VIN00000000000046,ABC0046,Vios,2018,10085.00,Van,Toyota
47,246,VIN00000000000047,ABC0047,Avanza,2019,10198.00,Hatchback,Toyota
48,247,VIN00000000000048,ABC0048,I100,2009,10311.00,Crossover,Hyundai
49,248,VIN00000000000049,ABC0049,Santa Fe,2007,10424.00,Sedan,Hyundai
50,249,VIN00000000000050,ABC0050,Rush,1999,10537.00,SUV,Toyota
51,250,VIN00000000000051,ABC0051,Wigo,2018,10650.00,Pickup,Toyota
52,251,VIN00000000000052,ABC0052,Vios,2007,10763.00,Van,Toyota
53,252,VIN00000000000053,ABC0053,Wigo,2020,10876.00,Hatchback,Toyota
54,253,VIN00000000000054,ABC0054,Vois,2025,10989.00,Crossover,Toyota
55,254,VIN00000000000055,ABC0055,Granduer,2011,11102.00,Sedan,Nissan
56,255,VIN00000000000056,ABC0056,Adventure,2015,11215.00,SUV,Mitsubishi
57,256,VIN00000000000057,ABC0057,Xpander,2005,11328.00,Pickup,Mitsubishi
58,257,VIN00000000000058,ABC0058,Rush,2001,11441.00,Van,Toyota
59,258,VIN00000000000059,ABC0059,Hi-Ace,2009,11554.00,Hatchback,Toyota
60,259,VIN00000000000060,ABC0060,Avanza,2016,11667.00,Crossover,Toyota
61,260,VIN00000000000061,ABC0061,Corolla Altis,1998,11780.00,Sedan,Toyota
62,261,VIN00000000000062,ABC0062,Starex,2009,11893.00,SUV,Hyundai
63,262,VIN00000000000063,ABC0063,Vios,2014,12006.00,Pickup,Toyota
64,263,VIN00000000000064,ABC0064,Porter,2012,12119.00,Van,Hyundai
65,264,VIN00000000000065,ABC0065,Vois,2011,12232.00,Hatchback,Toyota
66,265,VIN00000000000066,ABC0066,Xpander,2023,12345.00,Crossover,Mitsubishi
67,266,VIN00000000000067,ABC0067,Brio,2006,12458.00,Sedan,Honda
68,267,VIN00000000000068,ABC0068,Tucson,2023,12571.00,SUV,Hyundai
69,268,VIN00000000000069,ABC0069,Adventure,2022,12684.00,Pickup,Mitsubishi
70,269,VIN00000000000070,ABC0070,Grand Starex,2021,12797.00,Van,Hyundai
71,270,VIN00000000000071,ABC0071,Tucson,2022,12910.00,Hatchback,Hyundai
72,271,VIN00000000000072,ABC0072,EcoSport,2006,13023.00,Crossover,Ford
73,272,VIN00000000000073,ABC0073,Mazda 3,2003,13136.00,Sedan,Mazda
74,273,VIN00000000000074,ABC0074,Adventure,2006,13249.00,SUV,Mitsubishi
75,274,VIN00000000000075,ABC0075,Jazz,2015,13362.00,Pickup,Honda
76,275,VIN00000000000076,ABC0076,Jimny,2024,13475.00,Van,Suzuki
77,276,VIN00000000000077,ABC0077,Xpander,2011,13588.00,Hatchback,Mitsubishi
78,277,VIN00000000000078,ABC0078,L300,2015,13701.00,Crossover,Mitsubishi
79,278,VIN00000000000079,ABC0079,Vios,2014,13814.00,Sedan,Toyota
80,279,VIN00000000000080,ABC0080,Swift,1998,13927.00,SUV,Suzuki
81,280,VIN00000000000081,ABC0081,Corolla Altis,2023,14040.00,Pickup,Toyota
82,281,VIN00000000000082,ABC0082,I100,2007,14153.00,Van,Hyundai
83,282,VIN00000000000083,ABC0083,Hiace,2023,14266.00,Hatchback,Toyota
84,283,VIN00000000000084,ABC0084,Patrol,2002,14379.00,Crossover,Nissan
85,284,VIN00000000000085,ABC0085,Hilux,2011,14492.00,Sedan,Toyota
86,285,VIN00000000000086,ABC0086,City,2023,14605.00,SUV,Honda
87,286,VIN00000000000087,ABC0087,Vios,2016,14718.00,Pickup,Toyota
88,287,VIN00000000000088,ABC0088,Strada,2021,14831.00,Van,Mitsubishi
89,288,VIN00000000000089,ABC0089,Crv Gen 02,2012,14944.00,Hatchback,Honda
90,289,VIN00000000000090,ABC0090,Crv,2002,15057.00,Crossover,Honda
91,290,VIN00000000000091,ABC0091,Innova,2021,15170.00,Sedan,Toyota
92,291,VIN00000000000092,ABC0092,Dzire,2005,15283.00,SUV,Suzuki
93,292,VIN00000000000093,ABC0093,City,2005,15396.00,Pickup,Honda
94,293,VIN00000000000094,ABC0094,Rush,2006,15509.00,Van,Toyota
95,294,VIN00000000000095,ABC0095,Wigo,1997,15622.00,Hatchback,Toyota
96,295,VIN00000000000096,ABC0096,Hi-Ace,2011,15735.00,Crossover,Toyota
97,296,VIN00000000000097,ABC0097,Hiace,2023,15848.00,Sedan,Toyota
98,297,VIN00000000000098,ABC0098,Hi-Ace,2020,15961.00,SUV,Toyota
99,298,VIN00000000000099,ABC0099,Vois,2019,16074.00,Pickup,Toyota
100,299,VIN00000000000100,ABC0100,Altis,2003,16187.00,Van,Toyota
101,300,VIN00000000000101,ABC0101,Vois,2002,16300.00,Hatchback,Toyota
102,301,VIN00000000000102,ABC0102,Seltos,2007,16413.00,Crossover,Kia
103,302,VIN00000000000103,ABC0103,Santa Fe,2020,16526.00,Sedan,Hyundai
104,303,VIN00000000000104,ABC0104,Almera,2002,16639.00,SUV,Nissan
105,304,VIN00000000000105,ABC0105,Corolla Altis,2010,16752.00,Pickup,Toyota
106,305,VIN00000000000106,ABC0106,Adventure,2012,16865.00,Van,Mitsubishi
107,306,VIN00000000000107,ABC0107,Corolla,2017,16978.00,Hatchback,Toyota
108,307,VIN00000000000108,ABC0108,Tucson,2015,17091.00,Crossover,Hyundai
109,308,VIN00000000000109,ABC0109,Strada,2000,17204.00,Sedan,Mitsubishi
110,309,VIN00000000000110,ABC0110,L300,2000,17317.00,SUV,Mitsubishi
111,310,VIN00000000000111,ABC0111,NV350 Urvan,2019,17430.00,Pickup,Nissan
112,311,VIN00000000000112,ABC0112,Corolla Altis,2018,17543.00,Van,Toyota
113,312,VIN00000000000113,ABC0113,Celerio,1999,17656.00,Hatchback,Suzuki
114,313,VIN00000000000114,ABC0114,Wigo,2020,17769.00,Crossover,Toyota
115,314,VIN00000000000115,ABC0115,Vois,2011,17882.00,Sedan,Toyota
116,315,VIN00000000000116,ABC0116,Adventure,2010,17995.00,SUV,Mitsubishi
117,316,VIN00000000000117,ABC0117,Fc,2009,18108.00,Pickup,Honda
118,317,VIN00000000000118,ABC0118,Vios,2012,18221.00,Van,Toyota
119,318,VIN00000000000119,ABC0119,Mirage,1997,18334.00,Hatchback,Mitsubishi
120,319,VIN00000000000120,ABC0120,Montero,2018,18447.00,Crossover,Mitsubishi
121,320,VIN00000000000121,ABC0121,Pajero,2017,18560.00,Sedan,Mitsubishi
122,321,VIN00000000000122,ABC0122,Civic,2002,18673.00,SUV,Honda
123,322,VIN00000000000123,ABC0123,Wigo,2005,18786.00,Pickup,Toyota
124,323,VIN00000000000124,ABC0124,NV350 Urvan,2010,18899.00,Van,Nissan
125,324,VIN00000000000125,ABC0125,Hilux,2020,19012.00,Hatchback,Toyota
126,325,VIN00000000000126,ABC0126,Starex,2006,19125.00,Crossover,Hyundai
127,326,VIN00000000000127,ABC0127,Fortuner,1999,19238.00,Sedan,Toyota
128,327,VIN00000000000128,ABC0128,Innova,2001,19351.00,SUV,Toyota
129,328,VIN00000000000129,ABC0129,I100,2010,19464.00,Pickup,Hyundai
130,329,VIN00000000000130,ABC0130,Corolla Altis,1998,19577.00,Van,Toyota
131,330,VIN00000000000131,ABC0131,Vois,1997,19690.00,Hatchback,Toyota
132,331,VIN00000000000132,ABC0132,Corolla Altis,2021,19803.00,Crossover,Toyota
133,332,VIN00000000000133,ABC0133,Wigo,2003,19916.00,Sedan,Toyota
134,333,VIN00000000000134,ABC0134,Crv,2023,20029.00,SUV,Honda
135,334,VIN00000000000135,ABC0135,Corolla Altis,2004,20142.00,Pickup,Toyota
136,335,VIN00000000000136,ABC0136,Vois,2009,20255.00,Van,Toyota
137,336,VIN00000000000137,ABC0137,Hilux,2000,20368.00,Hatchback,Toyota
138,337,VIN00000000000138,ABC0138,Porter,2025,20481.00,Crossover,Hyundai
139,338,VIN00000000000139,ABC0139,Altis,2002,20594.00,Sedan,Toyota
140,339,VIN00000000000140,ABC0140,Rush,2023,20707.00,SUV,Toyota
141,340,VIN00000000000141,ABC0141,Mirage G4,2001,20820.00,Pickup,Mitsubishi
142,341,VIN00000000000142,ABC0142,Dmax,1999,20933.00,Van,Isuzu
143,342,VIN00000000000143,ABC0143,Adventure,1997,21046.00,Hatchback,Mitsubishi
144,343,VIN00000000000144,ABC0144,Starex,2007,21159.00,Crossover,Hyundai
145,344,VIN00000000000145,ABC0145,Xpander,2017,21272.00,Sedan,Mitsubishi
146,345,VIN00000000000146,ABC0146,Altis,2006,21385.00,SUV,Toyota
147,346,VIN00000000000147,ABC0147,Grand Starex,2005,21498.00,Pickup,Hyundai
148,347,VIN00000000000148,ABC0148,Starex,2005,21611.00,Van,Hyundai
149,348,VIN00000000000149,ABC0149,Civic,2025,21724.00,Hatchback,Honda
150,349,VIN00000000000150,ABC0150,CR-V,2005,21837.00,Crossover,Honda
151,350,VIN00000000000151,ABC0151,Hilux,2010,21950.00,Sedan,Toyota
152,351,VIN00000000000152,ABC0152,Hiace,2003,22063.00,SUV,Toyota
153,352,VIN00000000000153,ABC0153,Brio,2023,22176.00,Pickup,Honda
154,353,VIN00000000000154,ABC0154,Wigo,2014,22289.00,Van,Toyota
155,354,VIN00000000000155,ABC0155,Altis,1999,22402.00,Hatchback,Toyota
156,355,VIN00000000000156,ABC0156,Corolla,2008,22515.00,Crossover,Toyota
157,356,VIN00000000000157,ABC0157,Vios,2008,22628.00,Sedan,Toyota
158,357,VIN00000000000158,ABC0158,Mirage G4,2003,22741.00,SUV,Mitsubishi
159,358,VIN00000000000159,ABC0159,Rush,2007,22854.00,Pickup,Toyota
160,359,VIN00000000000160,ABC0160,Rush,2024,22967.00,Van,Toyota
161,360,VIN00000000000161,ABC0161,Avanza,2019,23080.00,Hatchback,Toyota
162,361,VIN00000000000162,ABC0162,CR-V,2017,23193.00,Crossover,Honda
163,362,VIN00000000000163,ABC0163,Brio,2013,23306.00,Sedan,Honda
164,363,VIN00000000000164,ABC0164,Montero,2001,23419.00,SUV,Mitsubishi
165,364,VIN00000000000165,ABC0165,Strada,2010,23532.00,Pickup,Mitsubishi
166,365,VIN00000000000166,ABC0166,Mux,2002,23645.00,Van,Isuzu
167,366,VIN00000000000167,ABC0167,City,2011,23758.00,Hatchback,Honda
168,367,VIN00000000000168,ABC0168,Patrol,2025,23871.00,Crossover,Nissan
169,368,VIN00000000000169,ABC0169,H100,2016,23984.00,Sedan,Hyundai
170,369,VIN00000000000170,ABC0170,Montero,2006,24097.00,SUV,Mitsubishi
171,370,VIN00000000000171,ABC0171,Rush,2025,24210.00,Pickup,Toyota
172,371,VIN00000000000172,ABC0172,Rush,2024,24323.00,Van,Toyota
173,372,VIN00000000000173,ABC0173,Vois,2017,24436.00,Hatchback,Toyota
174,373,VIN00000000000174,ABC0174,BR-V,2024,24549.00,Crossover,Honda
175,374,VIN00000000000175,ABC0175,mu-X,2001,24662.00,Sedan,Isuzu
176,375,VIN00000000000176,ABC0176,H100,2001,24775.00,SUV,Hyundai
177,376,VIN00000000000177,ABC0177,L300,2002,24888.00,Pickup,Mitsubishi
178,377,VIN00000000000178,ABC0178,Altis,2018,25001.00,Van,Toyota
179,378,VIN00000000000179,ABC0179,Swift,2009,25114.00,Hatchback,Suzuki
180,379,VIN00000000000180,ABC0180,Jimny,2019,25227.00,Crossover,Suzuki
181,380,VIN00000000000181,ABC0181,Xtrail,2014,25340.00,Sedan,Nissan
182,381,VIN00000000000182,ABC0182,Altis,2006,25453.00,SUV,Toyota
183,382,VIN00000000000183,ABC0183,Wigo,2014,25566.00,Pickup,Toyota
184,383,VIN00000000000184,ABC0184,Hi-Ace,2009,25679.00,Van,Toyota
185,384,VIN00000000000185,ABC0185,Wigo,2018,25792.00,Hatchback,Toyota
186,385,VIN00000000000186,ABC0186,Vois,2007,25905.00,Crossover,Toyota
187,386,VIN00000000000187,ABC0187,L200,2017,26018.00,Sedan,Mitsubishi
188,387,VIN00000000000188,ABC0188,Santa Fe,2008,26131.00,SUV,Hyundai
189,388,VIN00000000000189,ABC0189,Adventure,2013,26244.00,Pickup,Mitsubishi
190,389,VIN00000000000190,ABC0190,Grand Starex,2007,26357.00,Van,Hyundai
191,390,VIN00000000000191,ABC0191,Hiace,2004,26470.00,Hatchback,Toyota
192,391,VIN00000000000192,ABC0192,Innova,2023,26583.00,Crossover,Toyota
193,392,VIN00000000000193,ABC0193,Jazz,2021,26696.00,Sedan,Honda
194,393,VIN00000000000194,ABC0194,Hi-Ace,2007,26809.00,SUV,Toyota
195,394,VIN00000000000195,ABC0195,Jimny,2010,26922.00,Pickup,Suzuki
196,395,VIN00000000000196,ABC0196,I100,2003,27035.00,Van,Hyundai
197,396,VIN00000000000197,ABC0197,Armada,1997,27148.00,Hatchback,Nissan
198,397,VIN00000000000198,ABC0198,Vois,2010,27261.00,Crossover,Toyota
199,398,VIN00000000000199,ABC0199,Corolla Altis,2020,27374.00,Sedan,Toyota
200,399,VIN00000000000200,ABC0200,H100,2022,27487.00,SUV,Hyundai
201,400,VIN00000000000201,ABC0201,Hilux,2016,27600.00,Pickup,Toyota
202,401,VIN00000000000202,ABC0202,Montero,2017,27713.00,Van,Mitsubishi
203,402,VIN00000000000203,ABC0203,Montero Sport,2014,27826.00,Hatchback,Mitsubishi
204,403,VIN00000000000204,ABC0204,Avanza,2020,27939.00,Crossover,Toyota
205,404,VIN00000000000205,ABC0205,Vios,1998,28052.00,Sedan,Toyota
206,405,VIN00000000000206,ABC0206,Vios,2001,28165.00,SUV,Toyota
207,406,VIN00000000000207,ABC0207,Innova,2007,28278.00,Pickup,Toyota
208,407,VIN00000000000208,ABC0208,Almera,2002,28391.00,Van,Nissan
209,408,VIN00000000000209,ABC0209,Vois,2005,28504.00,Hatchback,Toyota
210,409,VIN00000000000210,ABC0210,Ecosport,2017,28617.00,Crossover,Ford
211,410,VIN00000000000211,ABC0211,Wigo,1999,28730.00,Sedan,Toyota
212,411,VIN00000000000212,ABC0212,Corolla,2010,28843.00,SUV,Toyota
213,412,VIN00000000000213,ABC0213,Seltos,2023,28956.00,Pickup,Kia
214,413,VIN00000000000214,ABC0214,Tucson,2012,29069.00,Van,Hyundai
215,414,VIN00000000000215,ABC0215,Accent,1999,29182.00,Hatchback,Hyundai
216,415,VIN00000000000216,ABC0216,Vios,2009,29295.00,Crossover,Toyota
217,416,VIN00000000000217,ABC0217,Fortuner,2006,29408.00,Sedan,Toyota
218,417,VIN00000000000218,ABC0218,Hiace,2005,29521.00,SUV,Toyota
219,418,VIN00000000000219,ABC0219,Vois,2006,29634.00,Pickup,Toyota
220,419,VIN00000000000220,ABC0220,Corolla,2008,29747.00,Van,Toyota
221,420,VIN00000000000221,ABC0221,L200,2021,29860.00,Hatchback,Mitsubishi
222,421,VIN00000000000222,ABC0222,Corolla Altis,2001,29973.00,Crossover,Toyota
223,422,VIN00000000000223,ABC0223,Rush,1997,30086.00,Sedan,Toyota
224,423,VIN00000000000224,ABC0224,Mirage G4,2004,30199.00,SUV,Mitsubishi
225,424,VIN00000000000225,ABC0225,Mirage G4,1997,30312.00,Pickup,Mitsubishi
226,425,VIN00000000000226,ABC0226,Vois,2016,30425.00,Van,Toyota
227,426,VIN00000000000227,ABC0227,Crv Gen 02,2008,30538.00,Hatchback,Honda
228,427,VIN00000000000228,ABC0228,Jazz,2015,30651.00,Crossover,Honda
229,428,VIN00000000000229,ABC0229,Mirage,2008,30764.00,Sedan,Mitsubishi
230,429,VIN00000000000230,ABC0230,Fortuner,2008,30877.00,SUV,Toyota
231,430,VIN00000000000231,ABC0231,Starex,2025,30990.00,Pickup,Hyundai
232,431,VIN00000000000232,ABC0232,H100,2012,31103.00,Van,Hyundai
233,432,VIN00000000000233,ABC0233,Fortuner,2003,31216.00,Hatchback,Toyota
234,433,VIN00000000000234,ABC0234,Wigo,2008,31329.00,Crossover,Toyota
235,434,VIN00000000000235,ABC0235,Santa Fe,2016,31442.00,Sedan,Hyundai
236,435,VIN00000000000236,ABC0236,Avanza,2000,31555.00,SUV,Toyota
237,436,VIN00000000000237,ABC0237,Montero Sport,2008,31668.00,Pickup,Mitsubishi
238,437,VIN00000000000238,ABC0238,Escape,2014,31781.00,Van,Ford
239,438,VIN00000000000239,ABC0239,Hiace,2001,31894.00,Hatchback,Toyota
240,439,VIN00000000000240,ABC0240,Avanza,2002,32007.00,Crossover,Toyota
241,440,VIN00000000000241,ABC0241,Mirage,2021,32120.00,Sedan,Mitsubishi
242,441,VIN00000000000242,ABC0242,Tucson,2025,32233.00,SUV,Hyundai
243,442,VIN00000000000243,ABC0243,Mirage,2020,32346.00,Pickup,Mitsubishi
244,443,VIN00000000000244,ABC0244,Innova,2008,32459.00,Van,Toyota
245,444,VIN00000000000245,ABC0245,Wigo,2018,32572.00,Hatchback,Toyota
246,445,VIN00000000000246,ABC0246,Fc,2009,32685.00,Crossover,Honda
247,446,VIN00000000000247,ABC0247,CR-V,2017,32798.00,Sedan,Honda
248,447,VIN00000000000248,ABC0248,Brio,2013,32911.00,SUV,Honda
249,448,VIN00000000000249,ABC0249,Patrol,2007,33024.00,Pickup,Nissan
250,449,VIN00000000000250,ABC0250,Corolla Altis,2001,33137.00,Van,Toyota
251,450,VIN00000000000251,ABC0251,Armada,2024,33250.00,Hatchback,Nissan
252,451,VIN00000000000252,ABC0252,Avanza,2000,33363.00,Crossover,Toyota
253,452,VIN00000000000253,ABC0253,Innova,2020,33476.00,Sedan,Toyota
254,453,VIN00000000000254,ABC0254,Civic,2020,33589.00,SUV,Honda
255,454,VIN00000000000255,ABC0255,Wigo,2007,33702.00,Pickup,Toyota
256,455,VIN00000000000256,ABC0256,Fortuner,1997,33815.00,Van,Toyota
257,456,VIN00000000000257,ABC0257,CR-V,2008,33928.00,Hatchback,Honda
258,457,VIN00000000000258,ABC0258,Santa Fe,2011,34041.00,Crossover,Hyundai
259,458,VIN00000000000259,ABC0259,Rush,2025,34154.00,Sedan,Toyota
260,459,VIN00000000000260,ABC0260,Mirage G4,2022,34267.00,SUV,Mitsubishi
261,460,VIN00000000000261,ABC0261,Hilux,1997,34380.00,Pickup,Toyota
262,461,VIN00000000000262,ABC0262,Altis,2015,34493.00,Van,Toyota
263,462,VIN00000000000263,ABC0263,Corolla,2001,34606.00,Hatchback,Toyota
264,463,VIN00000000000264,ABC0264,H100,2017,34719.00,Crossover,Hyundai
265,464,VIN00000000000265,ABC0265,Corolla,2014,34832.00,Sedan,Toyota
266,465,VIN00000000000266,ABC0266,mu-X,2002,34945.00,SUV,Isuzu
267,466,VIN00000000000267,ABC0267,Starex,2002,35058.00,Pickup,Hyundai
268,467,VIN00000000000268,ABC0268,Hiace,2002,35171.00,Van,Toyota
269,468,VIN00000000000269,ABC0269,Fortuner,2007,35284.00,Hatchback,Toyota
270,469,VIN00000000000270,ABC0270,L300,2017,35397.00,Crossover,Mitsubishi
271,470,VIN00000000000271,ABC0271,Tucson,2005,35510.00,Sedan,Hyundai
272,471,VIN00000000000272,ABC0272,Wigo,2013,35623.00,SUV,Toyota
273,472,VIN00000000000273,ABC0273,Tucson,2015,35736.00,Pickup,Hyundai
274,473,VIN00000000000274,ABC0274,H100,2006,35849.00,Van,Hyundai
275,474,VIN00000000000275,ABC0275,Montero Sport,2025,35962.00,Hatchback,Mitsubishi
276,475,VIN00000000000276,ABC0276,Hilux,2005,36075.00,Crossover,Toyota
277,476,VIN00000000000277,ABC0277,Hilux,2024,36188.00,Sedan,Toyota
278,477,VIN00000000000278,ABC0278,Soluto,2017,36301.00,SUV,Kia
279,478,VIN00000000000279,ABC0279,Montero,2002,36414.00,Pickup,Mitsubishi
280,479,VIN00000000000280,ABC0280,I100,2019,36527.00,Van,Hyundai
281,480,VIN00000000000281,ABC0281,Tucson,1997,36640.00,Hatchback,Hyundai
282,481,VIN00000000000282,ABC0282,K2700,2008,36753.00,Crossover,Kia
283,482,VIN00000000000283,ABC0283,Rush,2007,36866.00,Sedan,Toyota
284,483,VIN00000000000284,ABC0284,Innova,2007,36979.00,SUV,Toyota
285,484,VIN00000000000285,ABC0285,Avanza,1997,37092.00,Pickup,Toyota
286,485,VIN00000000000286,ABC0286,Mirage,2007,37205.00,Van,Mitsubishi
287,486,VIN00000000000287,ABC0287,Hiace,2007,37318.00,Hatchback,Toyota
288,487,VIN00000000000288,ABC0288,Pajero,2012,37431.00,Crossover,Mitsubishi
289,488,VIN00000000000289,ABC0289,Adventure,2003,37544.00,Sedan,Mitsubishi
290,489,VIN00000000000290,ABC0290,Fortuner,2023,37657.00,SUV,Toyota
291,490,VIN00000000000291,ABC0291,Hi-Ace,2002,37770.00,Pickup,Toyota
292,491,VIN00000000000292,ABC0292,Elf,2002,37883.00,Van,Isuzu
293,492,VIN00000000000293,ABC0293,Fortuner,2004,37996.00,Hatchback,Toyota
294,493,VIN00000000000294,ABC0294,Corolla,2021,38109.00,Crossover,Toyota
295,494,VIN00000000000295,ABC0295,CR-V,1999,38222.00,Sedan,Honda
296,495,VIN00000000000296,ABC0296,Hiace,2019,38335.00,SUV,Toyota
297,496,VIN00000000000297,ABC0297,Civic,1999,38448.00,Pickup,Honda
298,497,VIN00000000000298,ABC0298,I100,2018,38561.00,Van,Hyundai
299,498,VIN00000000000299,ABC0299,Montero Sport,2005,38674.00,Hatchback,Mitsubishi
300,499,VIN00000000000300,ABC0300,Grand Starex,2004,38787.00,Crossover,Hyundai
301,500,VIN00000000000301,ABC0301,L200,2025,38900.00,Sedan,Mitsubishi
302,501,VIN00000000000302,ABC0302,Pajero,2025,39013.00,SUV,Mitsubishi
303,502,VIN00000000000303,ABC0303,Mirage G4,2023,39126.00,Pickup,Mitsubishi
304,503,VIN00000000000304,ABC0304,Mirage,2021,39239.00,Van,Mitsubishi
305,504,VIN00000000000305,ABC0305,H100,2005,39352.00,Hatchback,Hyundai
306,505,VIN00000000000306,ABC0306,Wigo,2005,39465.00,Crossover,Toyota
307,506,VIN00000000000307,ABC0307,Accent,1998,39578.00,Sedan,Hyundai
308,507,VIN00000000000308,ABC0308,Soluto,2003,39691.00,SUV,Kia
309,508,VIN00000000000309,ABC0309,Grand Starex,2001,39804.00,Pickup,Hyundai
310,509,VIN00000000000310,ABC0310,Xtrail,2018,39917.00,Van,Nissan
311,510,VIN00000000000311,ABC0311,Hiace,2005,40030.00,Hatchback,Toyota
312,511,VIN00000000000312,ABC0312,Brio,2013,40143.00,Crossover,Honda
313,512,VIN00000000000313,ABC0313,Hiace,2002,40256.00,Sedan,Toyota
314,513,VIN00000000000314,ABC0314,Fortuner,2025,40369.00,SUV,Toyota
315,514,VIN00000000000315,ABC0315,Hilux,2014,40482.00,Pickup,Toyota
316,515,VIN00000000000316,ABC0316,Starex,2001,40595.00,Van,Hyundai
317,516,VIN00000000000317,ABC0317,Corolla Altis,2022,40708.00,Hatchback,Toyota
318,517,VIN00000000000318,ABC0318,Vios,2019,40821.00,Crossover,Toyota
319,518,VIN00000000000319,ABC0319,Fortuner,2006,40934.00,Sedan,Toyota
320,519,VIN00000000000320,ABC0320,Avanza,2007,41047.00,SUV,Toyota
321,520,VIN00000000000321,ABC0321,Corolla Altis,2022,41160.00,Pickup,Toyota
322,521,VIN00000000000322,ABC0322,Corolla Altis,2010,41273.00,Van,Toyota
323,522,VIN00000000000323,ABC0323,Soluto,2018,41386.00,Hatchback,Kia
324,523,VIN00000000000324,ABC0324,Corolla Altis,2021,41499.00,Crossover,Toyota
325,524,VIN00000000000325,ABC0325,Pajero,2014,41612.00,Sedan,Mitsubishi
326,525,VIN00000000000326,ABC0326,Brio,2010,41725.00,SUV,Honda
327,526,VIN00000000000327,ABC0327,Dmax,2002,41838.00,Pickup,Isuzu
328,527,VIN00000000000328,ABC0328,City,2002,41951.00,Van,Honda
329,528,VIN00000000000329,ABC0329,Xpander,2020,42064.00,Hatchback,Mitsubishi
