id,job_order_id,section_id,task_title,note,task_status,completed_at,price,billable,scheduled_date,mechanic_id,estimated_finish
36,388,quotation,Clean interior,Auto-generated task note based on service history.,completed,2026-01-09 17:15:50.312132,,True,,,
37,371,inspecting,Clean interior,Auto-generated task note based on service history.,completed,2026-01-28 08:02:59.312132,,True,,,
38,183,received,Check tire pressure,Auto-generated task note based on service history.,completed,2026-01-29 09:29:53.312132,,True,,,
39,381,inspecting,Perform alignment,Auto-generated task note based on service history.,in_progress,,,True,,,
40,393,received,Finalize quotation,Auto-generated task note based on service history.,in_progress,,,True,,,
41,183,in_progress,Test drive vehicle,Auto-generated task note based on service history.,completed,2026-01-27 18:29:53.312132,,True,,,
42,147,quotation,Finalize quotation,Auto-generated task note based on service history.,pending,,,True,,,
43,248,received,Inspect brake pads,Auto-generated task note based on service history.,completed,2026-07-05 02:37:10.312132,,True,,,
44,364,received,Finalize quotation,Auto-generated task note based on service history.,pending,,,True,,,
45,457,inspecting,Check tire pressure,Auto-generated task note based on service history.,completed,2025-12-03 09:58:15.312132,,True,,,
46,298,complete,Final check,Auto-generated task note based on service history.,in_progress,,,True,,,
47,74,inspecting,Finalize quotation,Auto-generated task note based on service history.,pending,,,True,,,
48,91,inspecting,Final check,Auto-generated task note based on service history.,completed,2026-01-30 12:07:42.312132,,True,,,
49,508,inspecting,Check fluid levels,Auto-generated task note based on service history.,completed,2026-07-28 03:35:41.312132,,True,,,
50,332,complete,Perform alignment,Auto-generated task note based on service history.,in_progress,,,True,,,
51,459,quotation,Final check,Auto-generated task note based on service history.,completed,2025-11-09 11:12:41.312132,,True,,,
52,259,complete,Check tire pressure,Auto-generated task note based on service history.,pending,,,True,,,
53,227,quotation,Test drive vehicle,Auto-generated task note based on service history.,in_progress,,,True,,,
54,9,quotation,Test drive vehicle,Auto-generated task note based on service history.,pending,,,True,,,
55,510,quotation,Test drive vehicle,Auto-generated task note based on service history.,in_progress,,,True,,,
56,258,received,Finalize quotation,Auto-generated task note based on service history.,pending,,,True,,,
57,358,in_progress,Check tire pressure,Auto-generated task note based on service history.,in_progress,,,True,,,
58,506,received,Perform alignment,Auto-generated task note based on service history.,completed,2026-06-14 20:35:41.312132,,True,,,
59,496,received,Clean interior,Auto-generated task note based on service history.,in_progress,,,True,,,
60,383,complete,Check tire pressure,Auto-generated task note based on service history.,in_progress,,,True,,,
61,274,quotation,Inspect brake pads,Auto-generated task note based on service history.,in_progress,,,True,,,
62,182,received,Test drive vehicle,Auto-generated task note based on service history.,pending,,,True,,,
63,231,quotation,Inspect brake pads,Auto-generated task note based on service history.,pending,,,True,,,
64,323,received,Check fluid levels,Auto-generated task note based on service history.,completed,2026-05-16 23:41:00.312132,,True,,,
65,314,complete,Test drive vehicle,Auto-generated task note based on service history.,pending,,,True,,,
66,112,in_progress,Final check,Auto-generated task note based on service history.,completed,2025-10-30 05:52:40.312132,,True,,,
67,61,complete,Check tire pressure,Auto-generated task note based on service history.,in_progress,,,True,,,
68,298,in_progress,Test drive vehicle,Auto-generated task note based on service history.,pending,,,True,,,
69,12,inspecting,Inspect brake pads,Auto-generated task note based on service history.,completed,2026-07-21 17:52:38.312132,,True,,,
70,349,in_progress,Finalize quotation,Auto-generated task note based on service history.,in_progress,,,True,,,
71,216,complete,Clean interior,Auto-generated task note based on service history.,in_progress,,,True,,,
72,385,quotation,Clean interior,Auto-generated task note based on service history.,pending,,,True,,,
73,480,received,Final check,Auto-generated task note based on service history.,in_progress,,,True,,,
74,473,complete,Final check,Auto-generated task note based on service history.,completed,2026-07-10 01:01:59.312132,,True,,,
75,400,quotation,Check fluid levels,Auto-generated task note based on service history.,in_progress,,,True,,,
76,322,in_progress,Finalize quotation,Auto-generated task note based on service history.,completed,2026-06-05 14:54:02.312132,,True,,,
77,66,complete,Clean interior,Auto-generated task note based on service history.,in_progress,,,True,,,
78,148,received,Inspect brake pads,Auto-generated task note based on service history.,pending,,,True,,,
79,15,in_progress,Perform alignment,Auto-generated task note based on service history.,in_progress,,,True,,,
80,496,quotation,Check fluid levels,Auto-generated task note based on service history.,in_progress,,,True,,,
81,159,inspecting,Check fluid levels,Auto-generated task note based on service history.,in_progress,,,True,,,
82,368,quotation,Finalize quotation,Auto-generated task note based on service history.,completed,2026-04-15 17:58:47.312132,,True,,,
83,188,inspecting,Check fluid levels,Auto-generated task note based on service history.,in_progress,,,True,,,
84,174,quotation,Inspect brake pads,Auto-generated task note based on service history.,completed,2026-03-29 17:12:10.312132,,True,,,
85,205,complete,Finalize quotation,Auto-generated task note based on service history.,in_progress,,,True,,,
86,56,in_progress,Test drive vehicle,Auto-generated task note based on service history.,in_progress,,,True,,,
87,388,inspecting,Clean interior,Auto-generated task note based on service history.,completed,2026-01-10 09:15:50.312132,,True,,,
88,231,inspecting,Inspect brake pads,Auto-generated task note based on service history.,in_progress,,,True,,,
89,315,complete,Test drive vehicle,Auto-generated task note based on service history.,completed,2025-12-25 14:30:29.312132,,True,,,
90,217,in_progress,Finalize quotation,Auto-generated task note based on service history.,completed,2025-08-16 01:16:00.312132,,True,,,
91,85,received,Finalize quotation,Auto-generated task note based on service history.,in_progress,,,True,,,
92,77,inspecting,Clean interior,Auto-generated task note based on service history.,completed,2025-12-13 17:16:21.312132,,True,,,
93,434,quotation,Final check,Auto-generated task note based on service history.,completed,2025-11-02 23:25:48.312132,,True,,,
94,421,inspecting,Check tire pressure,Auto-generated task note based on service history.,completed,2026-03-23 04:07:06.312132,,True,,,
95,132,in_progress,Inspect brake pads,Auto-generated task note based on service history.,completed,2026-04-21 04:56:06.312132,,True,,,
96,459,in_progress,Perform alignment,Auto-generated task note based on service history.,completed,2025-11-08 04:12:41.312132,,True,,,
97,246,in_progress,Final check,Auto-generated task note based on service history.,pending,,,True,,,
98,295,received,Clean interior,Auto-generated task note based on service history.,completed,2026-06-21 10:02:39.312132,,True,,,
99,190,quotation,Check tire pressure,Auto-generated task note based on service history.,pending,,,True,,,
100,449,quotation,Perform alignment,Auto-generated task note based on service history.,pending,,,True,,,
101,318,inspecting,Inspect brake pads,Auto-generated task note based on service history.,pending,,,True,,,
102,260,inspecting,Check fluid levels,Auto-generated task note based on service history.,in_progress,,,True,,,
103,138,complete,Clean interior,Auto-generated task note based on service history.,completed,2026-06-20 03:26:48.312132,,True,,,
104,103,complete,Final check,Auto-generated task note based on service history.,pending,,,True,,,
105,342,complete,Inspect brake pads,Auto-generated task note based on service history.,in_progress,,,True,,,
106,48,quotation,Test drive vehicle,Auto-generated task note based on service history.,pending,,,True,,,
107,340,quotation,Perform alignment,Auto-generated task note based on service history.,completed,2026-07-11 22:31:27.312132,,True,,,
108,509,received,Test drive vehicle,Auto-generated task note based on service history.,completed,2026-07-10 13:35:41.312132,,True,,,
109,242,received,Final check,Auto-generated task note based on service history.,completed,2026-04-22 18:30:42.312132,,True,,,
110,251,received,Clean interior,Auto-generated task note based on service history.,completed,2026-07-21 15:25:08.312132,,True,,,
111,494,in_progress,Clean interior,Auto-generated task note based on service history.,pending,,,True,,,
112,75,inspecting,Clean interior,Auto-generated task note based on service history.,in_progress,,,True,,,
113,136,inspecting,Check tire pressure,Auto-generated task note based on service history.,completed,2026-02-15 07:02:45.312132,,True,,,
114,313,received,Test drive vehicle,Auto-generated task note based on service history.,in_progress,,,True,,,
115,17,quotation,Check tire pressure,Auto-generated task note based on service history.,pending,,,True,,,
116,76,complete,Clean interior,Auto-generated task note based on service history.,in_progress,,,True,,,
117,19,inspecting,Inspect brake pads,Auto-generated task note based on service history.,pending,,,True,,,
118,273,received,Check tire pressure,Auto-generated task note based on service history.,pending,,,True,,,
119,410,inspecting,Clean interior,Auto-generated task note based on service history.,pending,,,True,,,
120,179,received,Check tire pressure,Auto-generated task note based on service history.,completed,2026-05-28 05:26:25.312132,,True,,,
121,223,complete,Inspect brake pads,Auto-generated task note based on service history.,in_progress,,,True,,,
122,458,in_progress,Check tire pressure,Auto-generated task note based on service history.,pending,,,True,,,
123,132,in_progress,Perform alignment,Auto-generated task note based on service history.,in_progress,,,True,,,
124,39,complete,Final check,Auto-generated task note based on service history.,pending,,,True,,,
125,97,quotation,Perform alignment,Auto-generated task note based on service history.,in_progress,,,True,,,
126,225,quotation,Perform alignment,Auto-generated task note based on service history.,pending,,,True,,,
127,297,received,Final check,Auto-generated task note based on service history.,pending,,,True,,,
128,316,in_progress,Inspect brake pads,Auto-generated task note based on service history.,pending,,,True,,,
129,486,in_progress,Inspect brake pads,Auto-generated task note based on service history.,completed,2026-03-13 14:18:01.312132,,True,,,
130,52,inspecting,Final check,Auto-generated task note based on service history.,completed,2025-11-17 02:13:36.312132,,True,,,
131,501,complete,Check tire pressure,Auto-generated task note based on service history.,pending,,,True,,,
132,60,complete,Inspect brake pads,Auto-generated task note based on service history.,in_progress,,,True,,,
133,231,complete,Inspect brake pads,Auto-generated task note based on service history.,pending,,,True,,,
134,492,received,Inspect brake pads,Auto-generated task note based on service history.,pending,,,True,,,
135,346,in_progress,Perform alignment,Auto-generated task note based on service history.,completed,2026-06-25 14:55:47.312132,,True,,,
136,160,in_progress,Check fluid levels,Auto-generated task note based on service history.,completed,2025-08-30 07:50:56.312132,,True,,,
137,10,received,Perform alignment,Auto-generated task note based on service history.,completed,2026-03-01 07:09:58.312132,,True,,,
138,441,inspecting,Clean interior,Auto-generated task note based on service history.,pending,,,True,,,
139,383,inspecting,Finalize quotation,Auto-generated task note based on service history.,pending,,,True,,,
140,362,inspecting,Final check,Auto-generated task note based on service history.,in_progress,,,True,,,
141,190,complete,Check fluid levels,Auto-generated task note based on service history.,completed,2025-08-22 09:14:40.312132,,True,,,
142,261,in_progress,Perform alignment,Auto-generated task note based on service history.,in_progress,,,True,,,
143,360,inspecting,Test drive vehicle,Auto-generated task note based on service history.,pending,,,True,,,
144,497,quotation,Inspect brake pads,Auto-generated task note based on service history.,in_progress,,,True,,,
145,465,in_progress,Finalize quotation,Auto-generated task note based on service history.,pending,,,True,,,
146,471,complete,Inspect brake pads,Auto-generated task note based on service history.,pending,,,True,,,
147,223,complete,Perform alignment,Auto-generated task note based on service history.,in_progress,,,True,,,
148,289,quotation,Check fluid levels,Auto-generated task note based on service history.,pending,,,True,,,
149,343,in_progress,Clean interior,Auto-generated task note based on service history.,completed,2025-09-12 14:02:15.312132,,True,,,
150,280,received,Finalize quotation,Auto-generated task note based on service history.,in_progress,,,True,,,
151,106,received,Check tire pressure,Auto-generated task note based on service history.,completed,2026-02-01 00:40:40.312132,,True,,,
152,474,complete,Clean interior,Auto-generated task note based on service history.,in_progress,,,True,,,
153,2,in_progress,Perform alignment,Auto-generated task note based on service history.,pending,,,True,,,
154,32,quotation,Check tire pressure,Auto-generated task note based on service history.,in_progress,,,True,,,
155,473,complete,Final check,Auto-generated task note based on service history.,pending,,,True,,,
156,498,inspecting,Clean interior,Auto-generated task note based on service history.,completed,2026-02-20 14:35:52.312132,,True,,,
157,511,complete,Finalize quotation,Auto-generated task note based on service history.,completed,2026-07-30 08:35:41.312132,,True,,,
158,44,received,Check fluid levels,Auto-generated task note based on service history.,completed,2025-08-24 10:43:48.312132,,True,,,
159,275,received,Check tire pressure,Auto-generated task note based on service history.,pending,,,True,,,
160,330,quotation,Final check,Auto-generated task note based on service history.,in_progress,,,True,,,
161,278,received,Check fluid levels,Auto-generated task note based on service history.,in_progress,,,True,,,
162,264,complete,Clean interior,Auto-generated task note based on service history.,pending,,,True,,,
163,494,quotation,Check fluid levels,Auto-generated task note based on service history.,pending,,,True,,,
164,111,inspecting,Clean interior,Auto-generated task note based on service history.,completed,2026-07-09 11:24:49.312132,,True,,,
165,377,complete,Check tire pressure,Auto-generated task note based on service history.,completed,2025-11-19 08:59:22.312132,,True,,,
166,450,inspecting,Finalize quotation,Auto-generated task note based on service history.,in_progress,,,True,,,
167,386,in_progress,Perform alignment,Auto-generated task note based on service history.,in_progress,,,True,,,
168,84,received,Clean interior,Auto-generated task note based on service history.,completed,2025-12-20 22:46:30.312132,,True,,,
169,53,received,Check tire pressure,Auto-generated task note based on service history.,in_progress,,,True,,,
170,167,inspecting,Perform alignment,Auto-generated task note based on service history.,pending,,,True,,,
171,238,inspecting,Check fluid levels,Auto-generated task note based on service history.,pending,,,True,,,
172,360,in_progress,Test drive vehicle,Auto-generated task note based on service history.,in_progress,,,True,,,
173,301,in_progress,Perform alignment,Auto-generated task note based on service history.,completed,2026-05-27 20:27:26.312132,,True,,,
174,177,inspecting,Clean interior,Auto-generated task note based on service history.,in_progress,,,True,,,
175,294,inspecting,Test drive vehicle,Auto-generated task note based on service history.,in_progress,,,True,,,
176,489,inspecting,Test drive vehicle,Auto-generated task note based on service history.,pending,,,True,,,
177,230,complete,Clean interior,Auto-generated task note based on service history.,in_progress,,,True,,,
178,56,received,Final check,Auto-generated task note based on service history.,pending,,,True,,,
179,437,in_progress,Final check,Auto-generated task note based on service history.,completed,2025-08-16 17:44:12.312132,,True,,,
180,343,received,Finalize quotation,Auto-generated task note based on service history.,in_progress,,,True,,,
181,324,received,Finalize quotation,Auto-generated task note based on service history.,in_progress,,,True,,,
182,496,inspecting,Perform alignment,Auto-generated task note based on service history.,in_progress,,,True,,,
183,248,in_progress,Finalize quotation,Auto-generated task note based on service history.,completed,2026-07-05 04:37:10.312132,,True,,,
184,141,inspecting,Final check,Auto-generated task note based on service history.,completed,2025-12-21 05:10:45.312132,,True,,,
185,4,quotation,Clean interior,Auto-generated task note based on service history.,pending,,,True,,,
186,142,inspecting,Check tire pressure,Auto-generated task note based on service history.,pending,,,True,,,
187,155,in_progress,Check fluid levels,Auto-generated task note based on service history.,pending,,,True,,,
188,480,received,Check fluid levels,Auto-generated task note based on service history.,in_progress,,,True,,,
189,44,received,Final check,Auto-generated task note based on service history.,pending,,,True,,,
190,125,complete,Clean interior,Auto-generated task note based on service history.,in_progress,,,True,,,
191,92,inspecting,Perform alignment,Auto-generated task note based on service history.,in_progress,,,True,,,
192,426,complete,Final check,Auto-generated task note based on service history.,in_progress,,,True,,,
193,487,complete,Final check,Auto-generated task note based on service history.,pending,,,True,,,
194,374,in_progress,Check tire pressure,Auto-generated task note based on service history.,in_progress,,,True,,,
195,28,in_progress,Perform alignment,Auto-generated task note based on service history.,completed,2025-12-05 00:41:22.312132,,True,,,
196,373,received,Perform alignment,Auto-generated task note based on service history.,pending,,,True,,,
197,16,complete,Final check,Auto-generated task note based on service history.,pending,,,True,,,
198,480,inspecting,Perform alignment,Auto-generated task note based on service history.,pending,,,True,,,
199,58,received,Inspect brake pads,Auto-generated task note based on service history.,in_progress,,,True,,,
200,298,in_progress,Test drive vehicle,Auto-generated task note based on service history.,in_progress,,,True,,,
201,118,in_progress,Clean interior,Auto-generated task note based on service history.,pending,,,True,,,
202,362,complete,Finalize quotation,Auto-generated task note based on service history.,in_progress,,,True,,,
203,76,inspecting,Final check,Auto-generated task note based on service history.,completed,2026-02-12 00:40:29.312132,,True,,,
204,48,received,Check fluid levels,Auto-generated task note based on service history.,pending,,,True,,,
205,22,inspecting,Perform alignment,Auto-generated task note based on service history.,in_progress,,,True,,,
206,344,received,Finalize quotation,Auto-generated task note based on service history.,pending,,,True,,,
207,210,in_progress,Perform alignment,Auto-generated task note based on service history.,in_progress,,,True,,,
208,347,in_progress,Final check,Auto-generated task note based on service history.,in_progress,,,True,,,
209,110,inspecting,Inspect brake pads,Auto-generated task note based on service history.,completed,2025-12-23 01:27:40.312132,,True,,,
210,198,in_progress,Check fluid levels,Auto-generated task note based on service history.,pending,,,True,,,
211,294,inspecting,Finalize quotation,Auto-generated task note based on service history.,pending,,,True,,,
212,111,complete,Inspect brake pads,Auto-generated task note based on service history.,in_progress,,,True,,,
213,394,in_progress,Perform alignment,Auto-generated task note based on service history.,pending,,,True,,,
214,465,complete,Test drive vehicle,Auto-generated task note based on service history.,completed,2026-04-16 22:46:15.312132,,True,,,
215,29,in_progress,Check fluid levels,Auto-generated task note based on service history.,pending,,,True,,,
216,135,complete,Inspect brake pads,Auto-generated task note based on service history.,in_progress,,,True,,,
217,499,complete,Inspect brake pads,Auto-generated task note based on service history.,completed,2026-05-03 03:09:38.312132,,True,,,
218,502,complete,Perform alignment,Auto-generated task note based on service history.,pending,,,True,,,
219,437,in_progress,Finalize quotation,Auto-generated task note based on service history.,pending,,,True,,,
220,100,complete,Check fluid levels,Auto-generated task note based on service history.,completed,2025-10-23 03:50:43.312132,,True,,,
221,515,quotation,Clean interior,Auto-generated task note based on service history.,in_progress,,,True,,,
222,485,complete,Inspect brake pads,Auto-generated task note based on service history.,in_progress,,,True,,,
223,287,quotation,Check tire pressure,Auto-generated task note based on service history.,in_progress,,,True,,,
224,251,received,Check fluid levels,Auto-generated task note based on service history.,pending,,,True,,,
225,138,received,Perform alignment,Auto-generated task note based on service history.,in_progress,,,True,,,
226,370,in_progress,Perform alignment,Auto-generated task note based on service history.,completed,2026-03-21 04:17:15.312132,,True,,,
227,100,in_progress,Final check,Auto-generated task note based on service history.,completed,2025-10-24 17:50:43.312132,,True,,,
228,202,in_progress,Inspect brake pads,Auto-generated task note based on service history.,in_progress,,,True,,,
229,437,quotation,Inspect brake pads,Auto-generated task note based on service history.,in_progress,,,True,,,
230,89,in_progress,Perform alignment,Auto-generated task note based on service history.,pending,,,True,,,
231,48,quotation,Perform alignment,Auto-generated task note based on service history.,in_progress,,,True,,,
232,335,received,Clean interior,Auto-generated task note based on service history.,in_progress,,,True,,,
233,23,in_progress,Inspect brake pads,Auto-generated task note based on service history.,in_progress,,,True,,,
234,383,inspecting,Inspect brake pads,Auto-generated task note based on service history.,completed,2026-08-07 07:03:41.312132,,True,,,
235,179,quotation,Final check,Auto-generated task note based on service history.,pending,,,True,,,
236,303,inspecting,Check tire pressure,Auto-generated task note based on service history.,pending,,,True,,,
237,482,complete,Clean interior,Auto-generated task note based on service history.,pending,,,True,,,
238,397,received,Check fluid levels,Auto-generated task note based on service history.,in_progress,,,True,,,
239,496,quotation,Test drive vehicle,Auto-generated task note based on service history.,pending,,,True,,,
240,325,received,Finalize quotation,Auto-generated task note based on service history.,pending,,,True,,,
241,450,received,Test drive vehicle,Auto-generated task note based on service history.,completed,2025-12-25 05:23:50.312132,,True,,,
242,291,in_progress,Clean interior,Auto-generated task note based on service history.,pending,,,True,,,
243,136,inspecting,Perform alignment,Auto-generated task note based on service history.,pending,,,True,,,
244,376,in_progress,Clean interior,Auto-generated task note based on service history.,completed,2026-01-14 00:58:59.312132,,True,,,
245,182,complete,Test drive vehicle,Auto-generated task note based on service history.,in_progress,,,True,,,
246,37,received,Perform alignment,Auto-generated task note based on service history.,pending,,,True,,,
247,37,inspecting,Check fluid levels,Auto-generated task note based on service history.,pending,,,True,,,
248,268,in_progress,Test drive vehicle,Auto-generated task note based on service history.,in_progress,,,True,,,
249,432,inspecting,Final check,Auto-generated task note based on service history.,completed,2026-02-04 05:40:47.312132,,True,,,
250,158,in_progress,Check tire pressure,Auto-generated task note based on service history.,pending,,,True,,,
251,476,quotation,Inspect brake pads,Auto-generated task note based on service history.,pending,,,True,,,
252,324,complete,Final check,Auto-generated task note based on service history.,in_progress,,,True,,,
253,170,inspecting,Final check,Auto-generated task note based on service history.,pending,,,True,,,
254,491,inspecting,Finalize quotation,Auto-generated task note based on service history.,pending,,,True,,,
255,190,inspecting,Test drive vehicle,Auto-generated task note based on service history.,pending,,,True,,,
256,28,inspecting,Clean interior,Auto-generated task note based on service history.,completed,2025-12-04 15:41:22.312132,,True,,,
257,285,received,Finalize quotation,Auto-generated task note based on service history.,completed,2026-01-26 09:48:45.312132,,True,,,
258,35,in_progress,Perform alignment,Auto-generated task note based on service history.,in_progress,,,True,,,
259,228,received,Clean interior,Auto-generated task note based on service history.,completed,2026-02-16 12:41:18.312132,,True,,,
260,294,inspecting,Final check,Auto-generated task note based on service history.,in_progress,,,True,,,
261,425,quotation,Perform alignment,Auto-generated task note based on service history.,in_progress,,,True,,,
262,329,received,Inspect brake pads,Auto-generated task note based on service history.,in_progress,,,True,,,
263,287,received,Inspect brake pads,Auto-generated task note based on service history.,completed,2026-07-18 18:19:24.312132,,True,,,
264,223,in_progress,Clean interior,Auto-generated task note based on service history.,in_progress,,,True,,,
265,480,complete,Perform alignment,Auto-generated task note based on service history.,in_progress,,,True,,,
266,232,in_progress,Check tire pressure,Auto-generated task note based on service history.,in_progress,,,True,,,
267,236,in_progress,Check tire pressure,Auto-generated task note based on service history.,in_progress,,,True,,,
268,114,in_progress,Final check,Auto-generated task note based on service history.,pending,,,True,,,
269,6,inspecting,Finalize quotation,Auto-generated task note based on service history.,completed,2026-01-07 23:01:52.312132,,True,,,
270,130,received,Inspect brake pads,Auto-generated task note based on service history.,pending,,,True,,,
271,490,complete,Check fluid levels,Auto-generated task note based on service history.,pending,,,True,,,
272,424,received,Inspect brake pads,Auto-generated task note based on service history.,in_progress,,,True,,,
273,311,inspecting,Test drive vehicle,Auto-generated task note based on service history.,completed,2026-02-19 15:01:02.312132,,True,,,
274,378,complete,Final check,Auto-generated task note based on service history.,pending,,,True,,,
275,219,received,Final check,Auto-generated task note based on service history.,completed,2025-10-22 02:00:21.312132,,True,,,
276,110,inspecting,Check fluid levels,Auto-generated task note based on service history.,completed,2025-12-22 05:27:40.312132,,True,,,
277,435,inspecting,Inspect brake pads,Auto-generated task note based on service history.,in_progress,,,True,,,
278,208,quotation,Check fluid levels,Auto-generated task note based on service history.,completed,2026-07-11 00:27:29.312132,,True,,,
279,183,received,Perform alignment,Auto-generated task note based on service history.,completed,2026-01-28 02:29:53.312132,,True,,,
280,460,inspecting,Clean interior,Auto-generated task note based on service history.,pending,,,True,,,
281,279,complete,Check fluid levels,Auto-generated task note based on service history.,pending,,,True,,,
282,400,complete,Test drive vehicle,Auto-generated task note based on service history.,pending,,,True,,,
283,72,inspecting,Inspect brake pads,Auto-generated task note based on service history.,completed,2026-01-15 09:31:41.312132,,True,,,
284,436,in_progress,Inspect brake pads,Auto-generated task note based on service history.,completed,2025-09-21 14:32:29.312132,,True,,,
285,38,inspecting,Inspect brake pads,Auto-generated task note based on service history.,in_progress,,,True,,,
286,110,received,Test drive vehicle,Auto-generated task note based on service history.,completed,2025-12-21 23:27:40.312132,,True,,,
287,199,received,Check tire pressure,Auto-generated task note based on service history.,in_progress,,,True,,,
288,97,received,Inspect brake pads,Auto-generated task note based on service history.,in_progress,,,True,,,
289,401,inspecting,Test drive vehicle,Auto-generated task note based on service history.,pending,,,True,,,
290,384,in_progress,Check fluid levels,Auto-generated task note based on service history.,pending,,,True,,,
291,201,quotation,Perform alignment,Auto-generated task note based on service history.,in_progress,,,True,,,
292,460,inspecting,Finalize quotation,Auto-generated task note based on service history.,in_progress,,,True,,,
293,96,quotation,Perform alignment,Auto-generated task note based on service history.,completed,2026-06-18 11:13:21.312132,,True,,,
294,412,quotation,Clean interior,Auto-generated task note based on service history.,pending,,,True,,,
295,259,complete,Final check,Auto-generated task note based on service history.,in_progress,,,True,,,
296,306,in_progress,Inspect brake pads,Auto-generated task note based on service history.,pending,,,True,,,
297,227,quotation,Clean interior,Auto-generated task note based on service history.,completed,2026-02-05 09:39:28.312132,,True,,,
298,390,quotation,Clean interior,Auto-generated task note based on service history.,pending,,,True,,,
299,449,quotation,Finalize quotation,Auto-generated task note based on service history.,in_progress,,,True,,,
300,338,complete,Test drive vehicle,Auto-generated task note based on service history.,in_progress,,,True,,,
301,389,complete,Check tire pressure,Auto-generated task note based on service history.,pending,,,True,,,
302,99,complete,Inspect brake pads,Auto-generated task note based on service history.,completed,2026-04-11 22:36:19.312132,,True,,,
303,223,quotation,Perform alignment,Auto-generated task note based on service history.,completed,2026-05-22 01:37:59.312132,,True,,,
304,154,complete,Perform alignment,Auto-generated task note based on service history.,completed,2025-12-16 01:47:06.312132,,True,,,
305,321,complete,Check tire pressure,Auto-generated task note based on service history.,in_progress,,,True,,,
306,458,quotation,Check fluid levels,Auto-generated task note based on service history.,pending,,,True,,,
307,148,received,Check fluid levels,Auto-generated task note based on service history.,completed,2026-05-23 14:51:38.312132,,True,,,
308,146,received,Perform alignment,Auto-generated task note based on service history.,in_progress,,,True,,,
309,261,quotation,Clean interior,Auto-generated task note based on service history.,pending,,,True,,,
310,52,inspecting,Clean interior,Auto-generated task note based on service history.,in_progress,,,True,,,
311,199,received,Inspect brake pads,Auto-generated task note based on service history.,in_progress,,,True,,,
312,369,quotation,Finalize quotation,Auto-generated task note based on service history.,pending,,,True,,,
313,238,inspecting,Check fluid levels,Auto-generated task note based on service history.,pending,,,True,,,
314,479,quotation,Final check,Auto-generated task note based on service history.,pending,,,True,,,
