id,job_order_id,service_id,description_of_work,estimated_duration,actual_duration,estimated_hours,actual_hours,estimated_amount,actual_amount
80,335,8,"Found minor wear and tear during service, but within acceptable limits.",00:33:26,00:40:22,,,2470.93,2745.48
81,495,1,Performed standard service procedure as per manufacturer guidelines.,00:57:16,00:49:00,,,4149.10,4610.11
82,18,8,Replaced consumables and tested system. Everything is operating normally.,02:08:33,02:48:52,,,5338.78,5931.98
83,279,3,Service completed. Adjusted specifications to optimal levels.,03:23:04,04:02:22,,,5207.54,5786.15
84,22,5,"Encountered slightly rusted bolts which delayed removal, but service completed successfully.",03:43:13,04:01:29,,,769.47,854.97
85,148,1,Performed standard service procedure as per manufacturer guidelines.,02:54:15,03:04:13,,,3756.63,4174.03
86,339,6,Performed standard service procedure as per manufacturer guidelines.,02:58:41,03:36:59,,,6441.77,7157.52
87,352,3,Replaced consumables and tested system. Everything is operating normally.,00:35:15,00:42:40,,,2939.88,3266.53
88,238,5,Replaced consumables and tested system. Everything is operating normally.,01:21:48,01:39:34,,,5003.78,5559.76
89,375,4,Service completed. Adjusted specifications to optimal levels.,01:57:36,02:34:32,,,4055.93,4506.59
90,348,5,Service completed. Adjusted specifications to optimal levels.,01:37:15,01:48:27,,,2247.36,2497.07
91,380,6,"Found minor wear and tear during service, but within acceptable limits.",03:53:03,04:28:52,,,4877.20,5419.11
92,127,6,Replaced consumables and tested system. Everything is operating normally.,01:26:14,01:36:32,,,551.47,612.74
93,55,8,Performed standard service procedure as per manufacturer guidelines.,02:48:29,03:27:50,,,3132.08,3480.09
94,73,6,"Encountered slightly rusted bolts which delayed removal, but service completed successfully.",02:14:08,02:10:48,,,2711.91,3013.23
95,398,3,Customer requested extra attention to this area. Cleaned and serviced thoroughly.,01:04:15,01:35:20,,,4546.03,5051.14
96,14,3,"Found minor wear and tear during service, but within acceptable limits.",02:23:55,02:50:43,,,3432.46,3813.84
97,311,8,Performed standard service procedure as per manufacturer guidelines.,00:33:31,00:50:03,,,4772.88,5303.20
98,173,2,"Found minor wear and tear during service, but within acceptable limits.",00:55:38,01:38:50,,,670.88,745.42
99,496,3,Customer requested extra attention to this area. Cleaned and serviced thoroughly.,02:37:31,02:48:41,,,3952.40,4391.56
100,479,4,Customer requested extra attention to this area. Cleaned and serviced thoroughly.,01:45:31,02:05:10,,,1281.02,1423.36
101,46,5,Service completed. Adjusted specifications to optimal levels.,01:03:56,01:36:00,,,5880.00,6533.33
102,499,5,"Encountered slightly rusted bolts which delayed removal, but service completed successfully.",01:17:56,01:29:48,,,2084.79,2316.43
103,454,7,Customer requested extra attention to this area. Cleaned and serviced thoroughly.,01:23:42,01:48:22,,,2179.31,2421.45
104,67,1,Customer requested extra attention to this area. Cleaned and serviced thoroughly.,00:42:25,01:15:11,,,2257.01,2507.79
105,371,6,Customer requested extra attention to this area. Cleaned and serviced thoroughly.,02:33:19,02:18:45,,,6577.31,7308.12
106,474,8,"Found minor wear and tear during service, but within acceptable limits.",03:18:26,03:52:55,,,4671.48,5190.53
107,96,8,Replaced consumables and tested system. Everything is operating normally.,02:52:16,03:31:40,,,3628.45,4031.61
108,182,7,Performed standard service procedure as per manufacturer guidelines.,03:43:43,03:52:57,,,684.20,760.22
109,415,4,Performed standard service procedure as per manufacturer guidelines.,03:41:43,03:37:45,,,1188.21,1320.23
110,517,4,Performed standard service procedure as per manufacturer guidelines.,02:04:12,02:23:15,,,688.03,764.48
111,305,8,Customer requested extra attention to this area. Cleaned and serviced thoroughly.,03:11:07,02:59:13,,,5449.32,6054.80
112,444,6,Replaced consumables and tested system. Everything is operating normally.,02:38:53,03:11:28,,,3308.74,3676.38
113,2,5,"Encountered slightly rusted bolts which delayed removal, but service completed successfully.",03:17:27,03:19:33,,,4516.52,5018.36
114,365,1,"Found minor wear and tear during service, but within acceptable limits.",01:09:48,00:55:32,,,4279.10,4754.56
115,92,8,Service completed. Adjusted specifications to optimal levels.,03:55:44,04:31:44,,,1549.76,1721.96
116,137,2,Replaced consumables and tested system. Everything is operating normally.,02:33:20,03:16:57,,,2594.03,2882.26
117,225,6,Performed standard service procedure as per manufacturer guidelines.,02:34:20,03:08:23,,,3038.72,3376.36
118,281,1,Service completed. Adjusted specifications to optimal levels.,02:30:58,03:14:06,,,1495.22,1661.35
119,444,7,"Encountered slightly rusted bolts which delayed removal, but service completed successfully.",01:50:05,02:24:01,,,1508.00,1675.55
120,291,2,Service completed. Adjusted specifications to optimal levels.,03:25:18,03:43:48,,,2743.34,3048.15
121,245,1,Customer requested extra attention to this area. Cleaned and serviced thoroughly.,03:43:45,04:23:43,,,3448.12,3831.24
122,280,6,Customer requested extra attention to this area. Cleaned and serviced thoroughly.,03:59:17,03:45:27,,,799.85,888.72
123,261,3,Performed standard service procedure as per manufacturer guidelines.,02:25:12,02:40:17,,,3423.75,3804.17
124,334,3,Service completed. Adjusted specifications to optimal levels.,03:26:07,04:04:49,,,5389.40,5988.22
125,363,6,Customer requested extra attention to this area. Cleaned and serviced thoroughly.,01:24:07,01:50:29,,,5854.48,6504.98
126,59,8,"Encountered slightly rusted bolts which delayed removal, but service completed successfully.",02:16:17,02:38:53,,,3963.57,4403.97
127,2,6,Performed standard service procedure as per manufacturer guidelines.,01:23:07,01:25:40,,,1460.39,1622.66
128,139,7,Customer requested extra attention to this area. Cleaned and serviced thoroughly.,03:34:02,04:03:47,,,3992.88,4436.53
129,190,1,Customer requested extra attention to this area. Cleaned and serviced thoroughly.,00:39:20,00:55:54,,,726.32,807.02
130,472,4,Replaced consumables and tested system. Everything is operating normally.,02:02:42,02:06:16,,,5564.69,6182.99
131,99,7,Customer requested extra attention to this area. Cleaned and serviced thoroughly.,01:36:10,01:48:04,,,905.68,1006.31
132,393,6,"Encountered slightly rusted bolts which delayed removal, but service completed successfully.",02:21:16,02:38:01,,,2806.92,3118.80
133,77,7,"Encountered slightly rusted bolts which delayed removal, but service completed successfully.",02:36:35,02:28:52,,,5176.11,5751.23
134,445,1,"Found minor wear and tear during service, but within acceptable limits.",03:50:09,03:38:13,,,5388.35,5987.05
135,46,8,Customer requested extra attention to this area. Cleaned and serviced thoroughly.,03:55:35,04:14:39,,,613.18,681.31
136,175,1,Service completed. Adjusted specifications to optimal levels.,02:58:54,03:15:24,,,1619.28,1799.20
137,371,2,Customer requested extra attention to this area. Cleaned and serviced thoroughly.,03:52:30,03:51:40,,,3742.13,4157.92
138,155,5,Replaced consumables and tested system. Everything is operating normally.,00:59:54,01:03:34,,,2565.76,2850.84
139,160,1,"Found minor wear and tear during service, but within acceptable limits.",01:02:32,00:54:49,,,4819.34,5354.82
140,296,1,"Encountered slightly rusted bolts which delayed removal, but service completed successfully.",03:20:03,03:32:53,,,7150.29,7944.77
141,310,6,"Found minor wear and tear during service, but within acceptable limits.",00:34:23,01:02:23,,,1856.29,2062.54
142,206,7,"Found minor wear and tear during service, but within acceptable limits.",02:29:44,02:34:17,,,1652.62,1836.24
143,26,7,Replaced consumables and tested system. Everything is operating normally.,01:49:42,02:33:54,,,2232.25,2480.28
144,214,6,Performed standard service procedure as per manufacturer guidelines.,02:48:26,02:49:52,,,1987.56,2208.40
145,231,3,"Encountered slightly rusted bolts which delayed removal, but service completed successfully.",03:05:16,03:39:16,,,967.63,1075.14
146,283,7,Replaced consumables and tested system. Everything is operating normally.,00:42:47,01:00:14,,,3140.03,3488.92
147,21,6,"Encountered slightly rusted bolts which delayed removal, but service completed successfully.",02:21:18,03:01:08,,,4461.15,4956.83
148,304,7,Customer requested extra attention to this area. Cleaned and serviced thoroughly.,01:13:12,01:35:29,,,1433.26,1592.51
149,9,4,Customer requested extra attention to this area. Cleaned and serviced thoroughly.,02:12:22,02:51:53,,,4757.97,5286.63
150,124,4,Service completed. Adjusted specifications to optimal levels.,01:02:29,01:21:13,,,968.85,1076.50
151,334,2,"Encountered slightly rusted bolts which delayed removal, but service completed successfully.",00:32:22,01:08:17,,,4890.62,5434.02
152,278,4,Service completed. Adjusted specifications to optimal levels.,01:57:34,02:09:25,,,5043.91,5604.34
153,357,6,Performed standard service procedure as per manufacturer guidelines.,01:05:46,01:31:32,,,2042.00,2268.89
154,293,4,Service completed. Adjusted specifications to optimal levels.,01:57:45,02:14:56,,,3221.47,3579.41
155,77,8,Service completed. Adjusted specifications to optimal levels.,03:52:03,03:56:39,,,1531.24,1701.38
156,376,3,Performed standard service procedure as per manufacturer guidelines.,01:46:50,01:35:00,,,3524.20,3915.78
157,131,5,Service completed. Adjusted specifications to optimal levels.,01:30:57,02:06:23,,,4669.92,5188.80
158,90,7,Performed standard service procedure as per manufacturer guidelines.,00:51:03,00:51:39,,,1031.52,1146.13
159,407,4,Customer requested extra attention to this area. Cleaned and serviced thoroughly.,02:39:39,02:37:24,,,2391.98,2657.76
160,182,3,Performed standard service procedure as per manufacturer guidelines.,02:18:32,02:50:14,,,5135.16,5705.73
161,261,4,Customer requested extra attention to this area. Cleaned and serviced thoroughly.,03:27:22,03:49:41,,,3025.41,3361.57
162,217,1,Customer requested extra attention to this area. Cleaned and serviced thoroughly.,01:17:43,01:16:05,,,1121.67,1246.30
163,205,4,"Found minor wear and tear during service, but within acceptable limits.",02:49:32,03:04:06,,,5410.93,6012.14
164,438,2,"Encountered slightly rusted bolts which delayed removal, but service completed successfully.",01:49:47,02:22:37,,,5211.81,5790.90
165,478,4,Replaced consumables and tested system. Everything is operating normally.,01:52:47,02:20:10,,,673.38,748.20
166,518,2,Replaced consumables and tested system. Everything is operating normally.,02:01:49,02:44:46,,,4964.30,5515.89
167,301,3,"Encountered slightly rusted bolts which delayed removal, but service completed successfully.",03:06:46,03:50:37,,,4197.35,4663.72
168,115,7,Performed standard service procedure as per manufacturer guidelines.,01:20:03,01:31:02,,,5405.28,6005.87
169,459,6,Replaced consumables and tested system. Everything is operating normally.,03:15:15,03:12:37,,,5890.10,6544.56
170,497,3,"Encountered slightly rusted bolts which delayed removal, but service completed successfully.",02:30:13,02:41:56,,,6701.59,7446.21
171,443,8,"Found minor wear and tear during service, but within acceptable limits.",02:48:40,02:43:37,,,2100.93,2334.37
172,287,5,Replaced consumables and tested system. Everything is operating normally.,01:51:56,01:59:26,,,1894.89,2105.43
173,3,5,Customer requested extra attention to this area. Cleaned and serviced thoroughly.,03:01:19,03:21:23,,,3240.60,3600.67
174,115,6,Performed standard service procedure as per manufacturer guidelines.,01:37:19,02:08:46,,,3924.94,4361.04
175,483,5,Service completed. Adjusted specifications to optimal levels.,02:24:40,02:52:36,,,2959.13,3287.92
176,316,6,Customer requested extra attention to this area. Cleaned and serviced thoroughly.,00:39:20,01:08:23,,,1001.73,1113.03
177,219,1,Service completed. Adjusted specifications to optimal levels.,02:28:25,02:41:29,,,2854.67,3171.85
178,304,2,Performed standard service procedure as per manufacturer guidelines.,00:55:28,01:37:13,,,6494.55,7216.17
179,295,4,Replaced consumables and tested system. Everything is operating normally.,03:55:24,04:21:12,,,3730.46,4144.96
180,22,5,Service completed. Adjusted specifications to optimal levels.,01:48:55,02:23:38,,,6714.96,7461.07
181,491,7,Service completed. Adjusted specifications to optimal levels.,01:44:39,02:24:28,,,6738.42,7487.13
182,130,8,Service completed. Adjusted specifications to optimal levels.,03:17:51,03:20:11,,,7079.53,7866.14
183,257,4,Replaced consumables and tested system. Everything is operating normally.,03:02:03,03:02:49,,,1747.59,1941.77
184,338,2,"Found minor wear and tear during service, but within acceptable limits.",00:57:09,01:02:54,,,5484.74,6094.16
185,474,3,Service completed. Adjusted specifications to optimal levels.,03:13:54,03:43:20,,,3652.07,4057.85
186,35,6,Performed standard service procedure as per manufacturer guidelines.,02:01:17,02:03:00,,,3688.62,4098.47
187,283,5,"Encountered slightly rusted bolts which delayed removal, but service completed successfully.",01:17:39,01:53:12,,,1822.58,2025.09
188,113,1,"Encountered slightly rusted bolts which delayed removal, but service completed successfully.",01:04:07,01:48:45,,,6039.58,6710.64
189,222,1,Performed standard service procedure as per manufacturer guidelines.,00:59:47,00:51:09,,,5580.86,6200.95
190,492,2,Customer requested extra attention to this area. Cleaned and serviced thoroughly.,02:35:26,02:57:48,,,3843.95,4271.05
191,515,6,Performed standard service procedure as per manufacturer guidelines.,03:01:47,02:59:44,,,1150.17,1277.97
192,359,5,Replaced consumables and tested system. Everything is operating normally.,02:07:05,01:55:22,,,5188.55,5765.06
193,199,5,"Found minor wear and tear during service, but within acceptable limits.",02:45:54,02:46:17,,,1248.08,1386.76
194,113,3,Replaced consumables and tested system. Everything is operating normally.,02:29:04,02:24:14,,,2735.65,3039.61
195,294,4,Service completed. Adjusted specifications to optimal levels.,01:38:20,01:28:57,,,1651.00,1834.44
196,246,1,Customer requested extra attention to this area. Cleaned and serviced thoroughly.,01:46:13,01:33:09,,,2940.96,3267.73
197,165,2,Performed standard service procedure as per manufacturer guidelines.,01:32:04,02:06:52,,,3243.00,3603.33
198,114,3,Performed standard service procedure as per manufacturer guidelines.,03:12:14,03:40:50,,,612.45,680.50
199,37,7,Customer requested extra attention to this area. Cleaned and serviced thoroughly.,01:39:04,02:06:09,,,4023.28,4470.31
200,153,6,Performed standard service procedure as per manufacturer guidelines.,03:37:16,03:23:26,,,5338.25,5931.39
201,247,8,Customer requested extra attention to this area. Cleaned and serviced thoroughly.,03:15:49,03:50:09,,,3132.97,3481.08
202,262,7,Performed standard service procedure as per manufacturer guidelines.,01:16:13,01:17:21,,,947.14,1052.38
203,330,5,Service completed. Adjusted specifications to optimal levels.,03:43:31,03:46:24,,,3821.02,4245.58
204,55,6,Performed standard service procedure as per manufacturer guidelines.,01:19:07,01:43:32,,,1885.55,2095.06
205,478,2,Customer requested extra attention to this area. Cleaned and serviced thoroughly.,00:58:36,01:11:37,,,1988.64,2209.60
206,279,8,"Encountered slightly rusted bolts which delayed removal, but service completed successfully.",00:48:36,00:46:00,,,5530.10,6144.56
207,327,2,"Found minor wear and tear during service, but within acceptable limits.",01:29:21,01:35:28,,,2741.16,3045.73
208,507,3,"Found minor wear and tear during service, but within acceptable limits.",02:58:41,03:41:26,,,6362.69,7069.65
209,2,4,Customer requested extra attention to this area. Cleaned and serviced thoroughly.,02:55:54,03:34:36,,,6436.08,7151.20
210,439,4,Customer requested extra attention to this area. Cleaned and serviced thoroughly.,02:28:11,02:52:42,,,2603.45,2892.72
211,462,5,Performed standard service procedure as per manufacturer guidelines.,02:52:21,02:53:23,,,508.66,565.18
212,462,1,Customer requested extra attention to this area. Cleaned and serviced thoroughly.,01:55:18,02:27:11,,,6093.43,6770.48
213,454,7,Customer requested extra attention to this area. Cleaned and serviced thoroughly.,02:39:31,03:04:45,,,5447.29,6052.54
214,254,5,Replaced consumables and tested system. Everything is operating normally.,00:33:06,00:19:10,,,5314.37,5904.86
215,484,7,Performed standard service procedure as per manufacturer guidelines.,01:01:03,01:39:32,,,6140.93,6823.26
216,206,4,Performed standard service procedure as per manufacturer guidelines.,02:25:07,02:22:51,,,545.77,606.41
217,142,4,Replaced consumables and tested system. Everything is operating normally.,03:40:27,03:28:21,,,6018.69,6687.43
218,129,5,Performed standard service procedure as per manufacturer guidelines.,03:20:13,03:12:10,,,2612.60,2902.89
219,337,4,Customer requested extra attention to this area. Cleaned and serviced thoroughly.,02:30:28,02:43:08,,,3088.15,3431.28
220,460,3,Replaced consumables and tested system. Everything is operating normally.,00:55:27,01:11:45,,,1447.57,1608.41
221,124,1,Replaced consumables and tested system. Everything is operating normally.,01:45:49,02:23:55,,,5952.39,6613.77
222,1,8,Service completed. Adjusted specifications to optimal levels.,02:21:43,02:09:31,,,1750.61,1945.12
223,72,4,"Encountered slightly rusted bolts which delayed removal, but service completed successfully.",03:41:41,03:57:31,,,641.02,712.24
224,320,3,Replaced consumables and tested system. Everything is operating normally.,02:13:46,02:52:36,,,3836.06,4262.29
225,206,8,Performed standard service procedure as per manufacturer guidelines.,02:59:08,02:57:08,,,4726.08,5251.20
226,404,5,"Found minor wear and tear during service, but within acceptable limits.",02:35:37,02:50:19,,,5014.57,5571.74
227,313,6,"Found minor wear and tear during service, but within acceptable limits.",03:03:27,03:17:26,,,3293.50,3659.44
228,435,2,Service completed. Adjusted specifications to optimal levels.,02:16:12,02:25:19,,,1488.96,1654.40
229,37,1,"Found minor wear and tear during service, but within acceptable limits.",02:11:54,02:43:12,,,4604.35,5115.94
230,30,8,Performed standard service procedure as per manufacturer guidelines.,00:45:34,01:18:25,,,5694.65,6327.39
231,341,8,Customer requested extra attention to this area. Cleaned and serviced thoroughly.,03:44:02,03:47:52,,,7020.48,7800.53
232,211,7,"Found minor wear and tear during service, but within acceptable limits.",02:23:57,02:31:27,,,6401.39,7112.66
233,141,8,"Encountered slightly rusted bolts which delayed removal, but service completed successfully.",03:06:12,02:59:38,,,5315.81,5906.45
234,199,4,"Encountered slightly rusted bolts which delayed removal, but service completed successfully.",01:28:21,01:58:07,,,4856.95,5396.61
235,432,7,Service completed. Adjusted specifications to optimal levels.,03:35:26,03:33:13,,,6850.01,7611.12
236,132,8,Performed standard service procedure as per manufacturer guidelines.,03:03:08,02:53:05,,,4875.22,5416.91
237,424,2,"Found minor wear and tear during service, but within acceptable limits.",02:09:15,02:10:32,,,1285.77,1428.63
238,366,1,Service completed. Adjusted specifications to optimal levels.,03:19:18,03:43:23,,,2969.38,3299.31
239,127,4,"Encountered slightly rusted bolts which delayed removal, but service completed successfully.",01:54:23,01:44:25,,,5762.19,6402.43
240,328,3,Replaced consumables and tested system. Everything is operating normally.,02:06:41,02:46:56,,,5586.49,6207.21
241,194,1,Customer requested extra attention to this area. Cleaned and serviced thoroughly.,02:49:38,02:45:51,,,7042.92,7825.47
242,516,8,"Encountered slightly rusted bolts which delayed removal, but service completed successfully.",03:34:38,04:15:16,,,3763.80,4182.00
243,240,6,Customer requested extra attention to this area. Cleaned and serviced thoroughly.,01:05:54,01:05:55,,,3989.91,4433.23
244,282,5,"Encountered slightly rusted bolts which delayed removal, but service completed successfully.",02:54:18,03:12:54,,,6166.21,6851.34
245,255,3,Service completed. Adjusted specifications to optimal levels.,02:15:58,02:58:16,,,6232.90,6925.44
246,406,4,"Found minor wear and tear during service, but within acceptable limits.",01:23:47,01:17:37,,,4094.57,4549.52
247,393,8,Replaced consumables and tested system. Everything is operating normally.,03:29:40,03:51:29,,,905.73,1006.37
248,196,2,"Encountered slightly rusted bolts which delayed removal, but service completed successfully.",03:23:54,03:22:49,,,6766.91,7518.79
249,292,5,"Encountered slightly rusted bolts which delayed removal, but service completed successfully.",02:48:57,03:12:23,,,1542.11,1713.46
250,254,1,Performed standard service procedure as per manufacturer guidelines.,00:43:17,00:41:24,,,4922.33,5469.26
251,274,2,Customer requested extra attention to this area. Cleaned and serviced thoroughly.,02:18:01,02:04:26,,,1815.26,2016.96
252,17,5,"Found minor wear and tear during service, but within acceptable limits.",02:25:34,02:57:58,,,4617.60,5130.67
253,270,1,Performed standard service procedure as per manufacturer guidelines.,01:40:41,01:44:11,,,729.84,810.93
254,162,2,"Found minor wear and tear during service, but within acceptable limits.",01:41:36,02:06:19,,,6272.30,6969.22
255,389,5,Replaced consumables and tested system. Everything is operating normally.,00:39:01,00:24:14,,,4816.40,5351.56
256,15,1,Performed standard service procedure as per manufacturer guidelines.,02:29:42,03:06:33,,,3276.51,3640.57
