id,job_order_id,service_id,description_of_work,estimated_duration,actual_duration,estimated_hours,actual_hours,estimated_amount,actual_amount
50,497,1,Customer requested extra attention to this area. Cleaned and serviced thoroughly.,03:11:55,03:49:57,,,2654.99,2949.99
51,294,3,Replaced consumables and tested system. Everything is operating normally.,03:46:05,03:57:49,,,2026.54,2251.71
52,130,5,Service completed. Adjusted specifications to optimal levels.,00:51:20,00:56:58,,,1624.67,1805.19
53,141,1,"Found minor wear and tear during service, but within acceptable limits.",01:43:51,01:32:26,,,4044.80,4494.22
54,199,5,"Encountered slightly rusted bolts which delayed removal, but service completed successfully.",02:44:41,03:05:02,,,4750.10,5277.89
55,204,5,Customer requested extra attention to this area. Cleaned and serviced thoroughly.,00:53:24,00:51:03,,,1991.66,2212.95
56,380,6,Replaced consumables and tested system. Everything is operating normally.,01:06:49,01:43:03,,,4923.49,5470.54
57,127,1,Replaced consumables and tested system. Everything is operating normally.,03:30:07,03:56:00,,,6599.04,7332.27
58,12,8,"Encountered slightly rusted bolts which delayed removal, but service completed successfully.",03:53:25,04:22:23,,,940.74,1045.27
59,449,5,Performed standard service procedure as per manufacturer guidelines.,02:35:52,02:44:14,,,6587.53,7319.48
60,377,1,"Found minor wear and tear during service, but within acceptable limits.",02:15:49,02:22:45,,,6628.17,7364.63
61,225,5,Service completed. Adjusted specifications to optimal levels.,03:40:05,03:49:50,,,5483.07,6092.30
62,487,2,Customer requested extra attention to this area. Cleaned and serviced thoroughly.,02:27:15,02:26:55,,,3540.05,3933.39
63,510,3,Replaced consumables and tested system. Everything is operating normally.,02:25:21,02:19:49,,,3077.37,3419.30
64,144,2,Performed standard service procedure as per manufacturer guidelines.,02:01:09,01:58:52,,,1240.07,1377.85
65,73,4,Customer requested extra attention to this area. Cleaned and serviced thoroughly.,00:39:57,00:33:52,,,6204.81,6894.23
66,238,1,"Found minor wear and tear during service, but within acceptable limits.",03:25:49,03:21:08,,,3381.16,3756.84
67,190,7,"Encountered slightly rusted bolts which delayed removal, but service completed successfully.",00:39:41,01:12:00,,,3534.62,3927.36
68,69,6,Performed standard service procedure as per manufacturer guidelines.,00:42:03,00:47:21,,,1933.25,2148.06
69,83,3,"Found minor wear and tear during service, but within acceptable limits.",01:07:19,00:57:11,,,2940.85,3267.61
70,159,7,"Encountered slightly rusted bolts which delayed removal, but service completed successfully.",01:31:10,01:35:31,,,2808.13,3120.14
71,461,7,Service completed. Adjusted specifications to optimal levels.,01:04:58,00:50:57,,,7080.01,7866.68
72,172,7,Service completed. Adjusted specifications to optimal levels.,03:49:52,04:27:55,,,3239.10,3599.00
73,439,8,Service completed. Adjusted specifications to optimal levels.,03:20:27,03:13:30,,,2665.17,2961.30
74,506,1,Service completed. Adjusted specifications to optimal levels.,00:39:38,00:55:17,,,6509.95,7233.28
75,380,8,Service completed. Adjusted specifications to optimal levels.,03:53:32,04:01:56,,,1809.60,2010.67
76,507,6,Performed standard service procedure as per manufacturer guidelines.,02:31:05,02:38:40,,,1137.29,1263.65
77,109,4,Service completed. Adjusted specifications to optimal levels.,01:36:34,02:00:32,,,4453.41,4948.23
78,173,5,Customer requested extra attention to this area. Cleaned and serviced thoroughly.,02:26:32,02:49:14,,,1271.07,1412.30
79,230,2,Replaced consumables and tested system. Everything is operating normally.,00:46:55,01:18:08,,,1530.41,1700.45
80,301,1,Replaced consumables and tested system. Everything is operating normally.,00:33:09,00:52:32,,,6586.34,7318.15
81,438,7,"Encountered slightly rusted bolts which delayed removal, but service completed successfully.",02:34:26,03:18:21,,,7009.90,7788.78
82,53,1,Customer requested extra attention to this area. Cleaned and serviced thoroughly.,01:19:08,01:11:43,,,1206.94,1341.04
83,112,2,"Encountered slightly rusted bolts which delayed removal, but service completed successfully.",03:41:24,03:29:20,,,6365.20,7072.44
84,8,3,Replaced consumables and tested system. Everything is operating normally.,01:59:19,02:41:16,,,2574.14,2860.15
85,482,2,Performed standard service procedure as per manufacturer guidelines.,03:35:05,03:44:33,,,6512.23,7235.81
86,185,8,Customer requested extra attention to this area. Cleaned and serviced thoroughly.,03:30:46,03:48:48,,,4362.43,4847.14
87,261,8,"Encountered slightly rusted bolts which delayed removal, but service completed successfully.",03:31:48,03:43:14,,,4080.38,4533.76
88,371,8,"Found minor wear and tear during service, but within acceptable limits.",01:17:35,01:30:51,,,2576.68,2862.98
89,427,6,Performed standard service procedure as per manufacturer guidelines.,00:56:20,01:10:49,,,4028.51,4476.12
90,187,1,Service completed. Adjusted specifications to optimal levels.,01:22:13,01:27:44,,,1396.14,1551.27
91,509,4,Performed standard service procedure as per manufacturer guidelines.,01:50:27,01:38:31,,,5110.84,5678.71
92,45,7,"Encountered slightly rusted bolts which delayed removal, but service completed successfully.",01:57:02,02:08:50,,,5967.80,6630.89
93,516,3,Performed standard service procedure as per manufacturer guidelines.,02:03:08,02:01:57,,,1325.84,1473.15
94,307,6,Service completed. Adjusted specifications to optimal levels.,01:09:21,00:58:10,,,6387.00,7096.67
95,159,2,"Found minor wear and tear during service, but within acceptable limits.",01:35:29,01:39:04,,,4382.39,4869.32
96,315,7,Replaced consumables and tested system. Everything is operating normally.,01:52:50,01:40:48,,,3527.87,3919.85
97,28,5,Customer requested extra attention to this area. Cleaned and serviced thoroughly.,02:16:12,02:51:35,,,4313.31,4792.57
98,274,6,Performed standard service procedure as per manufacturer guidelines.,03:01:46,03:28:06,,,994.35,1104.83
99,289,3,"Encountered slightly rusted bolts which delayed removal, but service completed successfully.",02:49:12,03:16:40,,,5357.42,5952.69
100,500,1,"Encountered slightly rusted bolts which delayed removal, but service completed successfully.",02:50:03,02:57:36,,,6370.01,7077.79
101,82,2,Performed standard service procedure as per manufacturer guidelines.,02:07:59,02:27:39,,,5851.85,6502.05
102,210,5,Service completed. Adjusted specifications to optimal levels.,01:39:33,01:35:01,,,3805.24,4228.04
103,353,5,"Encountered slightly rusted bolts which delayed removal, but service completed successfully.",03:50:04,03:42:37,,,6577.32,7308.13
104,408,5,Performed standard service procedure as per manufacturer guidelines.,02:52:25,02:45:18,,,4094.98,4549.98
105,57,2,"Encountered slightly rusted bolts which delayed removal, but service completed successfully.",01:11:18,00:57:17,,,2973.44,3303.82
106,216,1,Replaced consumables and tested system. Everything is operating normally.,01:23:23,02:08:18,,,4462.97,4958.85
107,274,2,Replaced consumables and tested system. Everything is operating normally.,03:49:42,04:04:05,,,5822.06,6468.95
108,414,5,Customer requested extra attention to this area. Cleaned and serviced thoroughly.,03:05:06,03:28:52,,,2269.52,2521.69
109,275,4,Customer requested extra attention to this area. Cleaned and serviced thoroughly.,03:41:53,04:07:06,,,2078.06,2308.96
110,136,8,"Found minor wear and tear during service, but within acceptable limits.",00:55:06,01:12:31,,,1200.03,1333.37
111,423,5,Customer requested extra attention to this area. Cleaned and serviced thoroughly.,03:33:13,03:28:00,,,3710.58,4122.87
112,324,8,Performed standard service procedure as per manufacturer guidelines.,03:14:48,03:46:18,,,2830.26,3144.73
113,65,8,Performed standard service procedure as per manufacturer guidelines.,03:01:41,03:19:20,,,6047.51,6719.45
114,345,4,Service completed. Adjusted specifications to optimal levels.,03:57:36,03:54:35,,,5916.20,6573.56
115,79,4,Performed standard service procedure as per manufacturer guidelines.,01:49:05,01:35:33,,,1835.94,2039.93
116,93,4,"Found minor wear and tear during service, but within acceptable limits.",02:06:06,02:47:44,,,1068.21,1186.90
117,23,7,Service completed. Adjusted specifications to optimal levels.,00:50:23,00:55:52,,,1717.55,1908.39
118,396,3,Customer requested extra attention to this area. Cleaned and serviced thoroughly.,02:47:45,02:39:15,,,650.13,722.37
119,475,7,Performed standard service procedure as per manufacturer guidelines.,01:52:51,02:21:13,,,2379.67,2644.08
120,87,5,Service completed. Adjusted specifications to optimal levels.,02:49:53,03:18:11,,,5064.05,5626.72
121,290,3,Service completed. Adjusted specifications to optimal levels.,02:14:07,02:15:29,,,5051.49,5612.77
122,149,8,Replaced consumables and tested system. Everything is operating normally.,03:47:26,03:34:25,,,3344.65,3716.28
123,424,6,Service completed. Adjusted specifications to optimal levels.,01:13:09,01:30:13,,,5670.41,6300.46
124,122,4,"Encountered slightly rusted bolts which delayed removal, but service completed successfully.",02:59:39,02:58:41,,,4889.01,5432.23
125,125,6,Replaced consumables and tested system. Everything is operating normally.,02:46:27,02:45:03,,,1635.20,1816.89
126,272,8,Service completed. Adjusted specifications to optimal levels.,01:39:37,01:54:51,,,1336.51,1485.01
127,512,4,"Encountered slightly rusted bolts which delayed removal, but service completed successfully.",00:41:47,00:50:37,,,870.69,967.43
128,208,6,Customer requested extra attention to this area. Cleaned and serviced thoroughly.,01:26:39,01:27:45,,,1919.16,2132.40
129,344,1,Replaced consumables and tested system. Everything is operating normally.,00:33:06,00:30:48,,,3063.29,3403.65
130,223,5,Customer requested extra attention to this area. Cleaned and serviced thoroughly.,03:42:34,03:31:26,,,4154.10,4615.67
131,318,3,"Encountered slightly rusted bolts which delayed removal, but service completed successfully.",00:57:43,01:28:15,,,2647.12,2941.24
132,210,3,Performed standard service procedure as per manufacturer guidelines.,03:29:07,03:44:11,,,6059.76,6733.07
133,212,5,"Encountered slightly rusted bolts which delayed removal, but service completed successfully.",02:54:19,02:42:23,,,4146.11,4606.79
134,288,4,Performed standard service procedure as per manufacturer guidelines.,03:29:34,03:19:47,,,5820.43,6467.14
135,95,2,Service completed. Adjusted specifications to optimal levels.,01:35:38,01:24:05,,,1886.40,2096.00
136,81,5,"Encountered slightly rusted bolts which delayed removal, but service completed successfully.",01:34:46,01:46:07,,,2727.31,3030.34
137,331,7,"Encountered slightly rusted bolts which delayed removal, but service completed successfully.",01:37:30,01:29:40,,,5417.54,6019.49
138,249,4,Performed standard service procedure as per manufacturer guidelines.,03:51:54,03:47:43,,,1888.66,2098.51
139,32,4,"Encountered slightly rusted bolts which delayed removal, but service completed successfully.",01:16:11,01:59:58,,,4906.74,5451.93
140,251,8,Replaced consumables and tested system. Everything is operating normally.,02:47:30,03:23:24,,,5251.75,5835.28
141,472,7,"Found minor wear and tear during service, but within acceptable limits.",00:30:50,00:29:26,,,5073.37,5637.08
142,31,3,Performed standard service procedure as per manufacturer guidelines.,03:41:41,03:36:35,,,3043.91,3382.12
143,173,6,Customer requested extra attention to this area. Cleaned and serviced thoroughly.,02:34:19,02:55:48,,,3882.23,4313.59
144,4,1,Customer requested extra attention to this area. Cleaned and serviced thoroughly.,00:47:12,01:18:46,,,4216.30,4684.78
145,352,8,"Found minor wear and tear during service, but within acceptable limits.",02:16:32,02:38:33,,,4003.21,4448.01
146,301,8,Service completed. Adjusted specifications to optimal levels.,01:27:32,01:54:38,,,1097.28,1219.20
147,409,4,"Found minor wear and tear during service, but within acceptable limits.",03:09:36,03:39:39,,,5748.05,6386.72
148,12,5,Performed standard service procedure as per manufacturer guidelines.,03:39:06,03:30:18,,,4716.19,5240.21
149,271,6,Service completed. Adjusted specifications to optimal levels.,03:01:15,03:40:24,,,2888.07,3208.97
150,389,8,"Found minor wear and tear during service, but within acceptable limits.",02:26:57,02:47:32,,,4323.20,4803.56
151,507,4,Replaced consumables and tested system. Everything is operating normally.,02:52:05,03:17:13,,,4040.27,4489.19
152,290,5,"Encountered slightly rusted bolts which delayed removal, but service completed successfully.",02:57:02,03:36:22,,,1161.03,1290.03
153,395,5,Customer requested extra attention to this area. Cleaned and serviced thoroughly.,03:20:27,03:16:54,,,2305.59,2561.77
154,419,1,"Found minor wear and tear during service, but within acceptable limits.",02:57:07,02:44:02,,,1159.68,1288.53
155,1,7,Replaced consumables and tested system. Everything is operating normally.,03:01:11,03:37:06,,,3299.72,3666.35
156,43,1,"Found minor wear and tear during service, but within acceptable limits.",02:08:26,02:33:40,,,1209.37,1343.74
157,364,7,Service completed. Adjusted specifications to optimal levels.,02:15:49,02:21:07,,,3182.45,3536.06
158,3,8,Performed standard service procedure as per manufacturer guidelines.,00:40:06,01:19:45,,,5125.64,5695.15
159,440,6,"Found minor wear and tear during service, but within acceptable limits.",01:11:09,01:34:52,,,1859.66,2066.29
160,39,4,Performed standard service procedure as per manufacturer guidelines.,01:47:59,01:36:46,,,2620.03,2911.14
161,37,1,Customer requested extra attention to this area. Cleaned and serviced thoroughly.,03:18:30,03:06:04,,,5639.90,6266.56
162,261,8,Performed standard service procedure as per manufacturer guidelines.,00:55:57,01:09:35,,,1013.89,1126.54
163,495,2,Performed standard service procedure as per manufacturer guidelines.,02:17:34,02:28:01,,,924.87,1027.63
164,294,8,Customer requested extra attention to this area. Cleaned and serviced thoroughly.,02:46:03,02:38:48,,,1914.14,2126.82
165,241,1,"Encountered slightly rusted bolts which delayed removal, but service completed successfully.",00:52:12,01:32:34,,,4121.70,4579.67
166,78,8,Service completed. Adjusted specifications to optimal levels.,01:08:55,01:44:44,,,6070.49,6744.99
167,250,1,"Found minor wear and tear during service, but within acceptable limits.",02:32:44,02:43:42,,,1591.43,1768.25
168,94,1,Performed standard service procedure as per manufacturer guidelines.,00:50:30,01:29:41,,,1188.82,1320.91
169,105,8,Replaced consumables and tested system. Everything is operating normally.,01:54:57,01:42:26,,,5171.02,5745.58
170,274,1,"Encountered slightly rusted bolts which delayed removal, but service completed successfully.",03:51:08,03:50:06,,,6378.21,7086.90
171,18,8,Replaced consumables and tested system. Everything is operating normally.,02:12:51,02:56:18,,,4469.51,4966.12
172,364,2,Service completed. Adjusted specifications to optimal levels.,02:01:53,02:20:20,,,2809.50,3121.67
173,464,5,Replaced consumables and tested system. Everything is operating normally.,00:34:52,01:13:25,,,921.23,1023.59
174,337,6,"Encountered slightly rusted bolts which delayed removal, but service completed successfully.",03:50:28,04:20:42,,,6845.17,7605.74
175,479,5,Replaced consumables and tested system. Everything is operating normally.,03:48:49,03:57:10,,,2210.09,2455.65
176,224,2,Service completed. Adjusted specifications to optimal levels.,01:29:49,02:08:42,,,6699.74,7444.16
177,330,5,Customer requested extra attention to this area. Cleaned and serviced thoroughly.,00:49:31,00:37:39,,,2041.14,2267.93
178,104,1,Performed standard service procedure as per manufacturer guidelines.,00:35:24,01:14:49,,,4809.51,5343.90
179,102,5,Customer requested extra attention to this area. Cleaned and serviced thoroughly.,03:03:07,03:13:38,,,2524.31,2804.79
180,36,4,Service completed. Adjusted specifications to optimal levels.,03:12:00,03:41:52,,,4340.04,4822.27
181,230,7,Service completed. Adjusted specifications to optimal levels.,02:37:22,02:29:59,,,4108.06,4564.51
182,89,5,Service completed. Adjusted specifications to optimal levels.,03:59:14,03:49:46,,,2305.57,2561.74
183,407,3,"Found minor wear and tear during service, but within acceptable limits.",03:55:05,03:59:04,,,5331.34,5923.71
184,285,8,Service completed. Adjusted specifications to optimal levels.,03:07:08,03:10:44,,,2752.98,3058.87
185,124,5,Service completed. Adjusted specifications to optimal levels.,03:26:36,04:07:09,,,2526.03,2806.70
186,259,7,"Encountered slightly rusted bolts which delayed removal, but service completed successfully.",01:34:49,01:26:33,,,6223.31,6914.79
187,30,7,"Encountered slightly rusted bolts which delayed removal, but service completed successfully.",01:49:05,02:30:46,,,5307.71,5897.46
188,81,7,Service completed. Adjusted specifications to optimal levels.,03:19:01,03:43:42,,,5813.79,6459.77
189,231,5,"Found minor wear and tear during service, but within acceptable limits.",02:15:42,02:34:03,,,5543.55,6159.50
190,120,2,Service completed. Adjusted specifications to optimal levels.,02:12:19,02:26:22,,,7138.94,7932.16
191,425,1,Service completed. Adjusted specifications to optimal levels.,02:56:00,03:18:03,,,2694.02,2993.36
192,298,2,"Encountered slightly rusted bolts which delayed removal, but service completed successfully.",00:46:56,00:45:19,,,4975.78,5528.64
193,266,6,"Encountered slightly rusted bolts which delayed removal, but service completed successfully.",02:42:07,03:21:07,,,6285.28,6983.64
194,407,4,"Found minor wear and tear during service, but within acceptable limits.",02:29:06,02:33:02,,,6729.89,7477.66
195,237,1,Replaced consumables and tested system. Everything is operating normally.,01:40:10,02:07:54,,,5350.05,5944.50
196,332,7,Service completed. Adjusted specifications to optimal levels.,01:18:38,01:47:39,,,2535.21,2816.90
197,470,2,Replaced consumables and tested system. Everything is operating normally.,01:43:15,02:00:07,,,4195.45,4661.61
198,468,8,"Encountered slightly rusted bolts which delayed removal, but service completed successfully.",02:56:28,03:18:02,,,1242.78,1380.87
199,478,6,Service completed. Adjusted specifications to optimal levels.,03:24:18,03:52:30,,,5245.79,5828.66
200,326,4,Performed standard service procedure as per manufacturer guidelines.,02:19:21,02:52:44,,,2245.94,2495.49
201,480,7,Customer requested extra attention to this area. Cleaned and serviced thoroughly.,01:32:43,01:37:30,,,6577.85,7308.72
202,452,4,Performed standard service procedure as per manufacturer guidelines.,03:33:44,03:33:23,,,4565.09,5072.32
203,157,2,"Found minor wear and tear during service, but within acceptable limits.",02:59:08,02:54:55,,,6426.53,7140.59
204,34,1,Service completed. Adjusted specifications to optimal levels.,03:53:05,04:03:56,,,1982.14,2202.38
205,484,7,"Found minor wear and tear during service, but within acceptable limits.",01:22:13,01:45:24,,,6378.03,7086.70
206,156,1,Replaced consumables and tested system. Everything is operating normally.,00:44:35,00:45:24,,,2254.68,2505.20
207,480,4,"Encountered slightly rusted bolts which delayed removal, but service completed successfully.",00:46:01,00:46:45,,,6212.11,6902.34
208,414,4,"Encountered slightly rusted bolts which delayed removal, but service completed successfully.",02:20:38,02:09:44,,,3364.89,3738.77
209,476,1,Service completed. Adjusted specifications to optimal levels.,02:57:03,03:32:08,,,4443.31,4937.01
210,509,5,"Found minor wear and tear during service, but within acceptable limits.",01:35:02,02:11:52,,,2065.92,2295.47
211,27,1,Replaced consumables and tested system. Everything is operating normally.,01:54:42,02:14:08,,,3213.50,3570.55
212,32,1,Performed standard service procedure as per manufacturer guidelines.,03:36:46,03:35:25,,,6410.69,7122.99
213,297,8,"Encountered slightly rusted bolts which delayed removal, but service completed successfully.",01:13:16,01:31:40,,,2353.63,2615.14
214,518,1,Customer requested extra attention to this area. Cleaned and serviced thoroughly.,03:48:33,04:25:05,,,3107.93,3453.26
215,414,3,Customer requested extra attention to this area. Cleaned and serviced thoroughly.,03:02:16,03:30:13,,,6440.54,7156.15
216,219,5,Service completed. Adjusted specifications to optimal levels.,02:01:30,02:09:18,,,548.25,609.17
217,371,6,"Found minor wear and tear during service, but within acceptable limits.",02:28:16,02:44:00,,,4305.87,4784.30
218,85,6,"Encountered slightly rusted bolts which delayed removal, but service completed successfully.",03:01:15,02:54:01,,,5727.55,6363.94
219,287,4,"Encountered slightly rusted bolts which delayed removal, but service completed successfully.",02:46:44,03:13:28,,,1541.75,1713.05
220,360,7,Replaced consumables and tested system. Everything is operating normally.,03:30:38,03:44:56,,,1212.83,1347.59
221,285,2,Customer requested extra attention to this area. Cleaned and serviced thoroughly.,01:21:26,01:43:44,,,3168.94,3521.04
222,302,5,Service completed. Adjusted specifications to optimal levels.,01:18:12,01:07:54,,,1253.31,1392.57
223,224,6,"Found minor wear and tear during service, but within acceptable limits.",00:49:14,01:05:05,,,4384.48,4871.64
224,498,7,Service completed. Adjusted specifications to optimal levels.,00:42:26,01:20:52,,,2356.31,2618.12
225,41,1,Replaced consumables and tested system. Everything is operating normally.,03:47:43,03:53:09,,,3702.06,4113.40
226,235,3,Service completed. Adjusted specifications to optimal levels.,00:46:49,00:36:27,,,3664.10,4071.22
227,269,2,Performed standard service procedure as per manufacturer guidelines.,01:47:04,02:01:39,,,1076.55,1196.17
228,447,4,"Found minor wear and tear during service, but within acceptable limits.",01:44:44,01:56:43,,,4124.85,4583.17
229,137,1,Replaced consumables and tested system. Everything is operating normally.,00:52:58,01:28:33,,,3181.72,3535.24
230,494,7,Service completed. Adjusted specifications to optimal levels.,02:07:20,02:29:27,,,6353.76,7059.73
231,97,4,Service completed. Adjusted specifications to optimal levels.,01:06:35,01:33:43,,,4579.69,5088.54
232,505,5,Service completed. Adjusted specifications to optimal levels.,01:08:09,01:11:12,,,5892.17,6546.85
233,251,2,"Encountered slightly rusted bolts which delayed removal, but service completed successfully.",01:15:45,01:02:57,,,2135.68,2372.98
234,427,7,Service completed. Adjusted specifications to optimal levels.,03:47:56,04:01:59,,,1861.59,2068.43
235,73,5,Customer requested extra attention to this area. Cleaned and serviced thoroughly.,03:44:50,04:00:04,,,6986.39,7762.65
236,20,7,Replaced consumables and tested system. Everything is operating normally.,03:55:10,03:45:03,,,6097.00,6774.44
237,433,5,"Encountered slightly rusted bolts which delayed removal, but service completed successfully.",01:58:00,02:11:58,,,1475.82,1639.80
238,452,8,Customer requested extra attention to this area. Cleaned and serviced thoroughly.,02:27:26,02:38:21,,,892.04,991.15
239,179,1,Customer requested extra attention to this area. Cleaned and serviced thoroughly.,02:13:13,02:30:08,,,5474.45,6082.72
240,497,7,Customer requested extra attention to this area. Cleaned and serviced thoroughly.,02:27:21,03:06:26,,,539.21,599.12
241,320,8,Service completed. Adjusted specifications to optimal levels.,01:27:44,02:12:33,,,5809.24,6454.71
242,298,3,Performed standard service procedure as per manufacturer guidelines.,01:09:44,01:23:42,,,3320.98,3689.98
243,287,3,"Encountered slightly rusted bolts which delayed removal, but service completed successfully.",02:50:44,02:57:28,,,4137.45,4597.17
244,263,5,"Found minor wear and tear during service, but within acceptable limits.",02:20:55,02:28:32,,,2129.47,2366.08
245,49,8,Performed standard service procedure as per manufacturer guidelines.,01:13:52,01:48:08,,,3775.61,4195.12
246,236,3,"Found minor wear and tear during service, but within acceptable limits.",01:46:28,01:43:19,,,3551.92,3946.58
247,297,6,Service completed. Adjusted specifications to optimal levels.,01:51:13,01:59:23,,,7069.21,7854.68
248,466,8,"Found minor wear and tear during service, but within acceptable limits.",01:43:49,02:24:25,,,1962.83,2180.92
249,364,1,Replaced consumables and tested system. Everything is operating normally.,01:06:56,01:04:09,,,1510.29,1678.10
250,438,4,"Encountered slightly rusted bolts which delayed removal, but service completed successfully.",02:51:51,03:03:25,,,6374.23,7082.48
251,326,1,Replaced consumables and tested system. Everything is operating normally.,02:18:44,03:01:39,,,756.23,840.26
252,187,1,"Encountered slightly rusted bolts which delayed removal, but service completed successfully.",02:23:26,02:50:49,,,6137.40,6819.33
253,206,2,"Encountered slightly rusted bolts which delayed removal, but service completed successfully.",01:20:40,01:43:40,,,1378.60,1531.78
254,502,6,"Encountered slightly rusted bolts which delayed removal, but service completed successfully.",00:41:13,00:53:32,,,5512.14,6124.60
255,455,7,Service completed. Adjusted specifications to optimal levels.,02:44:49,03:27:53,,,2780.68,3089.64
256,154,6,Replaced consumables and tested system. Everything is operating normally.,00:42:50,00:41:51,,,3437.27,3819.19
